param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001
8191,12,0.003,0.,0.003,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
16383,13,0.006,0.,0.006,0.005,0.,0.005,0.006,0.,0.006,0.021,0.,0.021
32767,14,0.013,0.,0.013,0.012,0.,0.011,0.028,0.,0.028,0.013,0.,0.013
65535,15,0.138,0.,0.138,0.044,0.007,0.037,0.025,0.,0.025,0.034,0.,0.034
131071,16,0.111,0.007,0.103,0.162,0.,0.162,0.051,0.,0.051,0.07,0.,0.07
262143,17,0.167,0.,0.167,0.271,0.,0.271,0.112,0.,0.112,0.116,0.,0.116
524287,18,0.403,0.012,0.391,0.22,0.,0.22,0.232,0.,0.232,0.241,0.,0.241
1048575,19,0.765,0.008,0.757,0.467,0.,0.467,0.458,0.,0.458,0.464,0.,0.464
2097151,20,1.412,0.,1.412,0.899,0.,0.899,0.905,0.,0.905,0.908,0.,0.908
4194303,21,2.302,0.,2.302,1.9,0.,1.9,1.882,0.,1.882,1.907,0.,1.906
8388607,22,4.107,0.,4.106,3.77,0.,3.77,3.777,0.,3.777,3.697,0.,3.697
