param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
293,,,,0.064,0.,0.064,,,,,,,,,,,,,,,
294,,,,,,,0.087,0.,0.087,,,,,,,,,,,,
300,,,,,,,0.07,0.,0.07,,,,,,,,,,,,
302,,,,0.164,0.,0.164,,,,,,,,,,,,,,,
305,,,,,,,0.227,0.,0.227,,,,,,,,,,,,
310,,,,0.045,0.,0.045,0.072,0.,0.072,,,,,,,,,,,,
315,,,,,,,0.098,0.,0.098,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,0.002,0.,0.002
319,,,,0.069,0.,0.069,,,,,,,,,,,,,,,
320,,,,,,,0.073,0.,0.073,,,,,,,,,,,,
326,,,,,,,0.077,0.,0.077,,,,,,,,,,,,
328,,,,0.05,0.,0.05,,,,,,,,,,,,,,,
331,,,,,,,0.095,0.,0.095,,,,,,,,,,,,
336,,,,0.06,0.,0.06,0.095,0.,0.095,,,,,,,,,,,,
341,,,,,,,0.093,0.,0.093,,,,,,,,,,,,
343,,,,,,,,,,0.141,0.005,0.,0.143,0.,0.006,,,,,,
345,,,,0.057,0.,0.057,,,,,,,,,,,,,,,
347,,,,,,,0.096,0.,0.096,,,,,,,,,,,,
352,,,,,,,0.097,0.,0.097,,,,,,,,,,,,
353,,,,0.073,0.,0.073,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,0.003,0.,0.003
357,,,,,,,0.092,0.,0.092,,,,,,,,,,,,
362,,,,0.083,0.,0.083,0.099,0.,0.098,,,,,,,,,,,,
367,,,,,,,0.099,0.,0.099,,,,,,,,,,,,
370,,,,0.202,0.,0.202,,,,,,,,,,,,,,,
373,,,,,,,0.103,0.,0.103,,,,,,,,,,,,
378,,,,,,,0.107,0.,0.107,,,,,,,,,,,,
379,,,,0.067,0.,0.068,,,,,,,,,,,,,,,
383,,,,,,,0.115,0.,0.115,,,,,,,,,,,,
387,,,,0.09,0.,0.09,,,,,,,,,,,,,,,
388,,,,,,,0.118,0.,0.118,,,,,,,,,,,,
394,,,,,,,0.107,0.,0.107,,,,,,,,,,0.004,0.,0.004
396,,,,0.07,0.,0.07,,,,,,,,,,,,,,,
399,,,,,,,0.116,0.,0.116,,,,,,,,,,,,
404,,,,,,,0.146,0.003,0.142,,,,,,,,,,,,
405,,,,0.094,0.,0.094,,,,,,,,,,,,,,,
409,,,,,,,0.141,0.,0.141,,,,,,,,,,,,
413,,,,0.101,0.,0.101,,,,,,,,,,,,,,,
414,,,,,,,0.134,0.,0.134,,,,,,,,,,,,
420,,,,,,,0.177,0.003,0.173,,,,,,,,,,,,
422,,,,0.174,0.,0.174,,,,,,,,,,,,,,,
425,,,,,,,0.161,0.007,0.153,,,,,,,,,,,,
430,,,,0.08,0.,0.08,0.149,0.,0.149,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,0.004,0.,0.004
435,,,,,,,0.168,0.004,0.163,,,,,,,,,,,,
439,,,,0.085,0.,0.085,,,,,,,,,,,,,,,
441,,,,,,,0.185,0.003,0.181,,,,,,,,,,,,
446,,,,,,,0.155,0.,0.155,,,,,,,,,,,,
447,,,,0.088,0.,0.088,,,,,,,,,,,,,,,
451,,,,,,,0.176,0.,0.176,,,,,,,,,,,,
456,,,,0.092,0.,0.092,,,,0.143,0.,0.005,0.143,0.003,0.002,,,,,,
458,,,,0.162,0.007,0.154,,,,,,,,,,,,,,,
465,,,,0.1,0.,0.1,,,,,,,,,,,,,,,
469,,,,,,,0.174,0.003,0.17,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,0.005,0.,0.005
473,,,,0.099,0.,0.099,,,,,,,,,,,,,,,
482,,,,0.101,0.,0.101,,,,,,,,,,,,,,,
487,,,,,,,0.22,0.008,0.212,,,,,,,,,,,,
490,,,,0.106,0.,0.106,,,,,,,,,,,,,,,
499,,,,0.109,0.,0.109,,,,,,,,,,,,,,,
505,,,,,,,0.201,0.,0.201,,,,,,,,,,,,
507,,,,0.112,0.,0.112,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,0.006,0.,0.006
516,,,,0.115,0.,0.115,,,,,,,,,,,,,,,
523,,,,,,,0.228,0.003,0.224,,,,,,,,,,,,
525,,,,0.126,0.,0.126,,,,,,,,,,,,,,,
533,,,,0.127,0.,0.127,,,,,,,,,,,,,,,
541,,,,,,,0.24,0.004,0.236,,,,,,,,,,,,
542,,,,0.134,0.,0.134,,,,,,,,,,,,,,,
550,,,,0.135,0.,0.135,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,0.007,0.,0.007
559,,,,0.138,0.,0.138,0.271,0.,0.271,,,,,,,,,,,,
567,,,,0.139,0.,0.139,,,,,,,,,,,,,,,
570,,,,,,,,,,0.146,0.,0.007,0.143,0.003,0.003,,,,,,
576,,,,0.142,0.,0.142,,,,,,,,,,,,,,,
577,,,,,,,0.315,0.003,0.311,,,,,,,,,,,,
583,,,,,,,0.408,0.003,0.405,,,,,,,,,,,,
585,,,,0.149,0.,0.149,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,0.008,0.,0.008
593,,,,0.156,0.,0.156,,,,,,,,,,,,,,,
595,,,,,,,0.319,0.,0.319,,,,,,,,,,,,
602,,,,0.153,0.,0.153,,,,,,,,,,,,,,,
610,,,,0.158,0.,0.158,,,,,,,,,,,,,,,
613,,,,,,,0.368,0.,0.368,,,,,,,,,,,,
619,,,,0.164,0.003,0.16,,,,,,,,,,,,,,,
627,,,,0.171,0.,0.171,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,0.01,0.,0.01
631,,,,,,,0.339,0.,0.339,,,,,,,,,,,,
636,,,,0.171,0.,0.171,,,,,,,,,,,,,,,
644,,,,0.174,0.,0.174,,,,,,,,,,,,,,,
649,,,,,,,0.365,0.003,0.361,,,,,,,,,,,,
653,,,,0.179,0.,0.179,,,,,,,,,,,,,,,
662,,,,0.189,0.,0.189,,,,,,,,,,,,,,,
667,,,,,,,0.397,0.003,0.393,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,0.01,0.,0.01
670,,,,0.188,0.,0.188,,,,,,,,,,,,,,,
679,,,,0.194,0.,0.194,,,,,,,,,,,,,,,
684,,,,,,,,,,0.146,0.,0.008,0.143,0.004,0.004,,,,,,
685,,,,,,,0.405,0.004,0.401,,,,,,,,,,,,
687,,,,0.209,0.,0.208,,,,,,,,,,,,,,,
696,,,,0.203,0.,0.203,,,,,,,,,,,,,,,
703,,,,,,,0.493,0.,0.493,,,,,,,,,,,,
704,,,,0.21,0.,0.209,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,,,,0.011,0.,0.011
713,,,,0.209,0.,0.209,,,,,,,,,,,,,,,
721,,,,,,,0.481,0.,0.481,,,,,,,,,,,,
739,,,,,,,0.486,0.,0.486,,,,,,,,,,,,
744,,,,0.229,0.,0.229,,,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,0.012,0.,0.012
757,,,,,,,0.488,0.,0.488,,,,,,,,,,,,
775,,,,0.255,0.,0.255,0.546,0.,0.546,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,0.013,0.,0.013
