param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
32,5,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001
64,6,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002
128,7,0.,0.,0.,0.023,0.007,0.016,0.005,0.,0.005
256,8,0.,0.,0.,0.03,0.,0.03,0.012,0.,0.012
512,9,0.,0.,0.,0.093,0.,0.093,0.025,0.,0.025
1024,10,0.,0.,0.,0.231,0.,0.231,0.054,0.003,0.05
2048,11,0.,0.,0.,0.806,0.,0.806,0.137,0.003,0.134
4096,12,0.,0.,0.,2.452,0.003,2.448,0.261,0.004,0.257
8192,13,0.,0.,0.,7.82,0.031,7.786,0.558,0.003,0.554
16384,14,0.,0.,0.,28.302,0.052,28.243,1.433,0.012,1.42
