param-n,pattern-regression-linear-real,pattern-regression-linear-sys,pattern-regression-linear-user
249,0.005,0.,0.005
250,0.005,0.,0.005
251,0.005,0.,0.005
252,0.005,0.,0.005
253,0.005,0.,0.005
254,0.005,0.,0.005
255,0.006,0.,0.006
256,0.005,0.,0.005
257,0.005,0.,0.005
258,0.006,0.,0.006
259,0.005,0.,0.005
260,0.005,0.,0.005
261,0.005,0.,0.005
262,0.005,0.,0.005
263,0.005,0.,0.005
264,0.006,0.,0.006
265,0.005,0.,0.005
266,0.005,0.,0.005
267,0.007,0.,0.007
268,0.005,0.,0.005
269,0.007,0.,0.007
270,0.005,0.,0.005
271,0.005,0.,0.005
272,0.005,0.,0.005
273,0.005,0.,0.005
274,0.005,0.002,0.002
275,0.005,0.,0.005
276,0.005,0.,0.005
277,0.005,0.,0.005
278,0.005,0.,0.005
279,0.006,0.,0.006
280,0.006,0.,0.006
281,0.005,0.,0.005
282,0.006,0.,0.006
283,0.005,0.,0.005
284,0.006,0.,0.006
285,0.006,0.,0.006
286,0.005,0.,0.005
287,0.006,0.,0.006
288,0.022,0.,0.022
289,0.005,0.,0.005
290,0.006,0.,0.006
291,0.006,0.,0.006
292,0.006,0.,0.006
293,0.006,0.,0.005
294,0.105,0.,0.105
295,0.005,0.,0.005
296,0.006,0.,0.006
297,0.006,0.,0.006
298,0.006,0.,0.006
299,0.006,0.,0.006
300,0.007,0.003,0.003
301,0.005,0.,0.005
302,0.005,0.,0.005
303,0.005,0.,0.005
304,0.006,0.,0.006
305,0.007,0.,0.007
306,0.027,0.,0.027
307,0.006,0.,0.006
308,0.005,0.,0.005
309,0.006,0.,0.006
310,0.006,0.,0.006
311,0.006,0.,0.006
312,0.007,0.,0.007
313,0.006,0.002,0.003
314,0.006,0.,0.006
315,0.007,0.,0.007
316,0.006,0.,0.006
317,0.006,0.,0.006
318,0.006,0.,0.006
319,0.006,0.,0.006
320,0.006,0.,0.006
321,0.006,0.,0.006
322,0.006,0.,0.006
323,0.007,0.,0.007
324,0.006,0.,0.006
325,0.007,0.,0.007
326,0.006,0.,0.006
327,0.006,0.,0.006
328,0.007,0.,0.007
329,0.006,0.,0.006
330,0.006,0.,0.006
331,0.006,0.,0.006
332,0.007,0.,0.007
333,0.006,0.,0.006
334,0.007,0.,0.007
335,0.007,0.,0.007
336,0.006,0.,0.006
337,0.006,0.,0.006
338,0.007,0.,0.007
339,0.018,0.,0.018
340,0.007,0.,0.007
341,0.007,0.,0.007
342,0.008,0.,0.008
343,0.006,0.,0.006
344,0.007,0.,0.007
345,0.006,0.,0.006
346,0.007,0.,0.007
347,0.007,0.,0.007
348,0.007,0.,0.007
349,0.007,0.,0.007
350,0.007,0.,0.007
351,0.007,0.,0.007
352,0.007,0.,0.007
353,0.007,0.,0.007
354,0.006,0.,0.006
355,0.007,0.,0.007
356,0.007,0.,0.007
357,0.007,0.,0.007
358,0.007,0.,0.007
359,0.007,0.,0.007
360,0.007,0.,0.007
361,0.007,0.,0.007
362,0.006,0.,0.006
363,0.007,0.,0.007
364,0.007,0.,0.007
365,0.009,0.,0.009
366,0.007,0.,0.007
367,0.008,0.,0.008
368,0.007,0.,0.007
369,0.008,0.,0.008
370,0.007,0.,0.007
371,0.007,0.,0.007
372,0.007,0.,0.007
373,0.007,0.,0.007
374,0.009,0.,0.009
375,0.007,0.,0.007
376,0.007,0.,0.007
377,0.007,0.,0.007
378,0.008,0.,0.008
379,0.009,0.,0.009
380,0.008,0.,0.008
381,0.008,0.,0.008
382,0.007,0.,0.007
383,0.007,0.,0.007
384,0.009,0.,0.009
385,0.008,0.,0.008
386,0.008,0.,0.008
387,0.008,0.,0.008
388,0.008,0.,0.008
389,0.008,0.,0.008
390,0.008,0.,0.008
391,0.008,0.,0.008
392,0.008,0.,0.008
393,0.009,0.,0.009
394,0.008,0.,0.008
395,0.008,0.,0.008
396,0.008,0.,0.008
397,0.008,0.,0.008
398,0.009,0.,0.009
399,0.008,0.,0.008
400,0.008,0.,0.008
401,0.008,0.,0.008
402,0.009,0.,0.009
403,0.008,0.,0.008
404,0.008,0.,0.008
405,0.008,0.,0.008
406,0.008,0.,0.008
407,0.008,0.,0.008
408,0.008,0.,0.008
409,0.008,0.,0.008
410,0.008,0.,0.008
411,0.009,0.,0.009
412,0.008,0.,0.008
413,0.009,0.,0.009
414,0.008,0.,0.008
415,0.009,0.,0.009
416,0.008,0.,0.008
417,0.008,0.,0.008
