param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.014,0.,0.014
2,1,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.09,0.003,0.001,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.042,0.,0.041
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.086,0.,0.004,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.003,0.,0.003,0.027,0.,0.027
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.091,0.,0.004,0.001,0.,0.,0.,0.,0.,0.013,0.,0.013,0.011,0.,0.011,0.084,0.,0.084
3,3,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.085,0.003,0.001,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.008,0.,0.008,0.044,0.,0.044
4,1,4,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.086,0.003,0.001,0.001,0.,0.001,0.,0.,0.,0.05,0.,0.05,0.048,0.,0.048,0.149,0.,0.149
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.091,0.003,0.001,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.017,0.,0.017,0.094,0.,0.094
4,4,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.088,0.,0.004,0.,0.,0.,0.,0.,0.,0.025,0.,0.025,0.021,0.,0.021,0.078,0.,0.078
5,1,5,0.002,0.,0.001,0.,0.,0.,0.,0.,0.,0.091,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.075,0.,0.074,0.073,0.,0.073,0.245,0.012,0.232
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.088,0.,0.004,0.,0.,0.,0.,0.,0.,0.058,0.,0.058,0.062,0.,0.062,0.139,0.,0.139
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.241,0.,0.241
7,1,7,,,,,,,,,,,,,,,,,,,0.268,0.,0.268,0.263,0.,0.263,0.687,0.,0.687
7,7,1,,,,,,,,,,,,,,,,,,,0.141,0.,0.141,0.151,0.,0.151,0.421,0.,0.421
8,1,8,,,,,,,,,,,,,,,,,,,0.535,0.,0.535,0.52,0.,0.519,1.116,0.,1.116
8,2,4,,,,,,,,,,,,,,,,,,,0.157,0.,0.157,0.151,0.,0.151,0.303,0.,0.303
8,4,2,,,,,,,,,,,,,,,,,,,0.124,0.,0.124,0.122,0.,0.122,0.296,0.,0.296
8,8,1,,,,,,,,,,,,,,,,,,,0.33,0.,0.33,0.338,0.003,0.334,0.613,0.,0.613
9,1,9,,,,,,,,,,,,,,,,,,,0.861,0.,0.861,0.858,0.,0.858,1.744,0.,1.744
9,3,3,,,,,,,,,,,,,,,,,,,0.168,0.,0.168,0.181,0.,0.181,0.45,0.,0.45
9,9,1,,,,,,,,,,,,,,,,,,,0.333,0.,0.333,0.508,0.003,0.504,0.664,0.,0.664
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,2.282,0.,2.281
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.917,0.,0.917
11,1,11,,,,,,,,,,,,,,,,,,,2.,0.,2.,1.94,0.003,1.936,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.625,0.,0.625,0.782,0.,0.782,,,
