param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.,0.003,0.004,0.,0.004,0.003,0.,0.003
20,0.013,0.,0.013,0.013,0.,0.012,0.013,0.,0.013
30,0.034,0.,0.034,0.039,0.,0.039,0.034,0.,0.034
40,0.086,0.,0.086,0.074,0.007,0.066,0.084,0.,0.084
50,0.141,0.,0.141,0.139,0.,0.139,0.133,0.004,0.129
60,0.232,0.,0.231,0.208,0.,0.208,0.321,0.,0.321
70,0.439,0.,0.439,0.347,0.,0.347,0.424,0.,0.424
80,0.437,0.,0.437,0.472,0.,0.472,0.454,0.,0.454
90,0.668,0.,0.668,0.679,0.,0.679,0.638,0.,0.637
100,0.891,0.,0.891,1.036,0.,1.036,1.142,0.,1.142
110,1.18,0.,1.18,1.175,0.,1.175,1.17,0.,1.17
120,1.521,0.,1.521,1.513,0.,1.513,1.531,0.,1.531
130,1.921,0.,1.921,1.921,0.,1.921,1.934,0.,1.933
140,2.388,0.,2.388,2.373,0.,2.372,2.406,0.,2.406
150,2.903,0.,2.903,2.937,0.003,2.933,2.919,0.,2.918
160,3.592,0.,3.592,3.585,0.,3.585,3.526,0.003,3.522
170,4.334,0.003,4.324,4.333,0.,4.332,4.338,0.,4.338
180,5.177,0.007,5.168,5.166,0.,5.165,5.147,0.,5.147
190,6.253,0.,6.253,6.215,0.004,6.211,6.2,0.,6.199
200,6.931,0.,6.93,6.919,0.003,6.915,6.896,0.,6.895
