param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
240,1.872,0.,1.871,1.108,0.,1.108,0.658,0.,0.658,0.478,0.,0.477,1.207,0.,1.207,0.004,0.,0.004,0.624,0.,0.624,0.004,0.,0.004
250,2.016,0.011,2.004,1.303,0.011,1.291,0.596,0.007,0.588,0.54,0.004,0.536,1.414,0.003,1.41,0.004,0.,0.004,0.757,0.007,0.749,0.004,0.,0.004
260,2.118,0.007,2.109,1.234,0.003,1.23,0.641,0.004,0.637,0.485,0.,0.485,1.469,0.003,1.465,0.005,0.,0.005,0.741,0.003,0.737,0.005,0.,0.005
270,2.297,0.003,2.291,1.319,0.011,1.307,0.714,0.,0.714,0.531,0.003,0.527,1.576,0.003,1.57,0.005,0.,0.005,0.781,0.007,0.773,0.005,0.,0.005
280,2.584,0.,2.584,1.555,0.,1.555,0.889,0.,0.889,0.653,0.,0.652,1.688,0.,1.688,0.005,0.,0.005,0.895,0.,0.895,0.005,0.,0.005
290,2.704,0.003,2.7,1.549,0.,1.548,0.834,0.,0.834,0.605,0.,0.605,1.862,0.003,1.858,0.005,0.,0.006,0.936,0.,0.936,0.006,0.,0.006
300,2.953,0.012,2.941,1.657,0.019,1.637,1.003,0.003,0.999,0.638,0.007,0.63,1.943,0.007,1.935,0.006,0.,0.006,1.011,0.011,0.999,0.006,0.,0.006
310,3.21,0.,3.21,1.943,0.,1.943,0.944,0.,0.944,0.774,0.,0.774,2.257,0.,2.257,0.006,0.,0.006,1.16,0.,1.16,0.006,0.,0.006
320,3.751,0.015,3.735,2.005,0.,2.005,1.15,0.003,1.146,0.747,0.,0.747,2.579,0.011,2.566,0.02,0.,0.02,1.248,0.,1.248,0.007,0.,0.007
330,3.535,0.,3.535,2.031,0.,2.03,1.058,0.,1.057,0.835,0.,0.835,2.468,0.,2.468,0.007,0.,0.007,1.186,0.,1.186,0.007,0.,0.007
340,3.824,0.,3.824,2.189,0.,2.189,1.179,0.,1.179,0.831,0.,0.831,2.635,0.,2.635,0.007,0.,0.007,1.347,0.,1.347,0.007,0.,0.007
350,4.132,0.031,4.099,2.407,0.027,2.379,1.292,0.004,1.288,0.888,0.008,0.879,2.83,0.027,2.802,0.008,0.,0.008,1.51,0.019,1.49,0.007,0.,0.007
360,4.799,0.008,4.791,2.868,0.011,2.856,1.43,0.,1.429,1.06,0.008,1.052,3.359,0.008,3.351,0.008,0.,0.008,1.797,0.003,1.793,0.008,0.,0.008
370,4.709,0.,4.709,2.608,0.007,2.6,1.533,0.,1.533,0.981,0.,0.981,3.165,0.,3.165,0.008,0.,0.008,1.615,0.007,1.607,0.008,0.,0.008
380,5.112,0.,5.112,2.871,0.003,2.867,1.621,0.,1.621,1.031,0.003,1.027,3.466,0.,3.466,0.022,0.,0.022,1.828,0.,1.828,0.009,0.,0.009
390,5.294,0.003,5.29,3.336,0.007,3.328,1.667,0.003,1.663,1.253,0.,1.252,3.615,0.,3.615,0.009,0.,0.009,2.072,0.007,2.063,0.009,0.,0.009
400,5.38,0.027,5.351,3.036,0.,3.036,1.535,0.003,1.531,1.18,0.,1.18,3.833,0.023,3.809,0.009,0.,0.009,1.845,0.,1.844,0.01,0.,0.01
