param-n,abstract-regression-cubic-real,abstract-regression-cubic-sys,abstract-regression-cubic-user,close-abstract-regression-cubic-real,close-abstract-regression-cubic-sys,close-abstract-regression-cubic-user,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
64,0.023,0.,0.023,0.007,0.,0.007,0.015,0.,0.015,0.015,0.,0.015,0.,0.,0.
65,0.023,0.,0.023,0.007,0.,0.007,0.015,0.,0.015,0.015,0.,0.015,0.,0.,0.
66,0.023,0.,0.023,0.007,0.,0.007,0.015,0.,0.015,0.015,0.,0.015,0.,0.,0.
67,0.024,0.,0.024,0.007,0.,0.008,0.016,0.,0.016,0.016,0.,0.016,0.,0.,0.
68,0.025,0.,0.025,0.008,0.,0.008,0.016,0.,0.016,0.016,0.,0.016,0.,0.,0.
69,0.028,0.,0.028,0.007,0.,0.007,0.02,0.,0.02,0.02,0.,0.02,0.004,0.,0.004
70,0.025,0.,0.025,0.008,0.,0.008,0.017,0.,0.017,0.017,0.,0.017,0.,0.,0.
71,0.027,0.,0.027,0.008,0.,0.008,0.017,0.,0.017,0.017,0.,0.017,0.,0.,0.
72,0.041,0.,0.041,0.009,0.,0.009,0.031,0.,0.031,0.031,0.,0.031,0.,0.,0.
73,0.028,0.,0.028,0.009,0.,0.009,0.018,0.,0.018,0.018,0.,0.018,0.,0.,0.
74,0.029,0.,0.029,0.009,0.,0.009,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.
75,0.031,0.003,0.027,0.009,0.,0.009,0.021,0.003,0.017,0.021,0.003,0.017,0.,0.,0.
76,0.03,0.,0.03,0.01,0.,0.01,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.
77,0.05,0.,0.05,0.01,0.,0.01,0.038,0.,0.038,0.038,0.,0.038,0.,0.,0.
78,0.031,0.,0.031,0.011,0.,0.011,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.
