param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07941,0.00015,0.00036,0.00004,0.189,0.018,0.092,0.07966,0.00014,0.00038,0.00005,0.08,0.,0.,0.,0.,0.,0.,0.,0.
3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07971,0.00012,0.00034,0.00004,0.08,0.001,0.,0.07973,0.00014,0.00034,0.00004,0.08,0.,0.001,0.001,0.,0.001,0.,0.,0.
4,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.07998,0.00014,0.00035,0.00005,0.08,0.,0.001,0.07973,0.00014,0.00035,0.00005,0.08,0.,0.001,0.003,0.,0.003,0.,0.,0.
5,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.08019,0.00015,0.00034,0.00005,0.08,0.,0.001,0.07951,0.00018,0.00035,0.00005,0.08,0.,0.001,0.004,0.,0.004,0.,0.,0.
6,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.07939,0.00012,0.00034,0.00005,0.08,0.001,0.,0.08486,0.00014,0.00034,0.00005,0.085,0.,0.,0.008,0.,0.008,0.,0.,0.
7,0.024,0.,0.024,0.,0.,0.,0.,0.,0.,0.07986,0.00012,0.00034,0.00007,0.08,0.,0.001,0.08031,0.00014,0.00038,0.00006,0.081,0.,0.001,0.024,0.,0.024,0.,0.,0.
8,0.014,0.,0.014,0.,0.,0.,0.,0.,0.,0.07942,0.00012,0.00037,0.00006,0.08,0.,0.,0.07976,0.00015,0.00034,0.00005,0.08,0.,0.001,0.016,0.,0.016,0.,0.,0.
9,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.08005,0.00012,0.00038,0.00006,0.08,0.,0.,0.07974,0.00015,0.00034,0.00005,0.08,0.001,0.,0.02,0.,0.02,0.,0.,0.
10,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.07981,0.00014,0.00036,0.00005,0.08,0.,0.,0.07932,0.00014,0.00041,0.00005,0.08,0.,0.,0.034,0.,0.033,0.,0.,0.
11,0.045,0.,0.045,0.,0.,0.,,,,,,,,,,,,,,,,,,0.047,0.,0.047,,,
12,0.053,0.,0.053,,,,0.,0.,0.,,,,,,,,,,,,,,,0.048,0.,0.047,,,
13,0.053,0.,0.052,,,,,,,,,,,,,,,,,,,,,0.049,0.,0.049,,,
14,0.058,0.,0.058,,,,,,,,,,,,,,,,,,,,,0.076,0.,0.076,,,
15,0.082,0.001,0.08,,,,,,,,,,,,,,,,,,,,,0.081,0.,0.081,,,
16,0.084,0.,0.084,,,,,,,,,,,,,,,,,,,,,0.095,0.,0.095,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.,0.099,,,
18,0.117,0.,0.117,,,,0.,0.,0.,,,,,,,,,,,,,,,0.125,0.,0.125,,,
19,0.132,0.,0.132,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.256,0.,0.256,,,
22,0.309,0.,0.309,,,,,,,,,,,,,,,,,,,,,0.212,0.,0.212,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,0.274,0.,0.274,,,
25,0.262,0.,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,0.411,0.,0.411,,,
28,0.452,0.,0.452,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,0.381,0.,0.381,,,
30,0.408,0.,0.408,,,,,,,,,,,,,,,,,,,,,0.428,0.,0.428,,,
32,,,,,,,,,,,,,,,,,,,,,,,,0.508,0.,0.508,,,
33,0.509,0.,0.509,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,0.593,0.,0.593,,,
36,0.655,0.,0.655,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,0.951,0.,0.95,0.,0.,0.
43,1.053,0.,1.052,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
45,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,1.463,0.,1.463,,,
49,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
50,1.547,0.,1.547,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,2.04,0.,2.039,,,
56,2.116,0.,2.116,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,2.742,0.002,2.739,,,
62,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
63,3.043,0.001,3.042,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,3.778,0.006,3.771,,,
70,4.099,0.001,4.097,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
71,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
