param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09875,0.00019,0.00051,0.00005,0.188,0.019,0.071,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.003
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09833,0.00018,0.00051,0.00005,0.099,0.,0.002,0.,0.,0.,0.,0.,0.,0.004,0.001,0.002,0.004,0.,0.004,0.015,0.001,0.013
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09738,0.00017,0.00048,0.00005,0.098,0.,0.002,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.008,0.,0.007
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09659,0.00036,0.00051,0.00006,0.097,0.001,0.,0.,0.,0.,0.,0.,0.,0.009,0.001,0.008,0.009,0.002,0.007,0.065,0.005,0.059
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09779,0.00017,0.00050,0.00006,0.098,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.001,0.004,0.006,0.001,0.004,0.013,0.,0.013
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09742,0.00035,0.00099,0.00006,0.098,0.,0.001,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.018,0.,0.018,0.038,0.,0.038
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09839,0.00017,0.00050,0.00006,0.099,0.001,0.001,0.,0.,0.,0.,0.,0.,0.054,0.004,0.05,0.055,0.005,0.05,0.036,0.,0.036
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09730,0.00017,0.00053,0.00006,0.098,0.,0.002,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.011,0.,0.011,0.023,0.,0.023
5,1,5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10110,0.00019,0.00050,0.00009,0.203,0.018,0.084,0.001,0.,0.001,0.,0.,0.,0.089,0.01,0.078,0.088,0.009,0.079,0.133,0.009,0.123
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09811,0.00034,0.00050,0.00006,0.099,0.001,0.001,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.022,0.,0.022,0.039,0.,0.039
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.,0.06
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.186,0.009,0.177,0.185,0.007,0.177,0.258,0.012,0.245
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.058,0.,0.058,0.062,0.,0.062,0.107,0.,0.107
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.209,0.,0.209,0.212,0.,0.212,0.362,0.,0.362
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.14,0.,0.14,0.139,0.,0.139,0.083,0.,0.083
8,4,2,,,,,,,,,,,,,,,,,,,,,,,0.086,0.,0.086,0.085,0.,0.085,0.15,0.,0.15
8,8,1,,,,,,,,,,,,,,,,,,,,,,,0.105,0.,0.105,0.112,0.,0.112,0.195,0.,0.195
9,1,9,,,,,,,,,,,,,,,,,,,,,,,0.335,0.,0.334,0.333,0.,0.333,0.497,0.,0.497
9,3,3,,,,,,,,,,,,,,,,,,,,,,,0.143,0.,0.143,0.143,0.,0.143,0.225,0.,0.225
9,9,1,,,,,,,,,,,,,,,,,,,,,,,0.175,0.,0.174,0.185,0.,0.185,0.237,0.,0.237
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.,0.73
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306,0.,0.306
11,1,11,,,,,,,,,,,,,,,,,,,,,,,0.841,0.,0.841,0.834,0.,0.833,,,
11,11,1,,,,,,,,,,,,,,,,,,,,,,,0.237,0.,0.237,0.259,0.,0.259,,,
12,1,12,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,1.21,0.,1.21,1.205,0.,1.204,,,
12,3,4,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,0.211,0.,0.211,0.207,0.,0.206,0.129,0.,0.129
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,0.314,0.001,0.313,0.349,0.,0.349,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,0.003,1.533
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.,0.76
15,1,15,,,,,,,,,,,,,,,,,,,,,,,3.507,0.001,3.506,3.506,0.004,3.501,,,
15,15,1,,,,,,,,,,,,,,,,,,,,,,,0.66,0.002,0.657,0.756,0.,0.754,,,
16,1,16,,,,,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.976,0.008,3.968
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.947,0.001,1.946
18,1,18,0.003,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,0.,0.323
24,1,24,0.005,0.001,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,,,,,0.002,0.001,0.,,,,,,,,,,,,
30,5,6,0.002,0.001,0.,,,,,,,,,,,,,,0.002,0.,0.001,,,,,,,,,,,,
31,1,31,0.007,0.002,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0.045,0.003,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37,0.007,0.,0.007,,,,,,,,,,,,,,0.007,0.001,0.005,,,,,,,,,,,,
37,37,1,0.003,0.,0.003,,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
42,1,42,,,,,,,,,,0.09837,0.00020,0.00049,0.00016,0.187,0.013,0.076,,,,0.,0.,0.,,,,,,,,,
42,6,7,0.002,0.,0.002,,,,,,,0.09900,0.00020,0.00048,0.00015,0.099,0.,0.002,0.003,0.,0.003,0.,0.,0.,,,,,,,,,
42,42,1,,,,,,,,,,0.09708,0.00018,0.00049,0.00018,0.098,0.,0.002,,,,0.,0.,0.,,,,,,,,,
43,1,43,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,48,,,,,,,,,,,,,,,,,0.01,0.,0.009,,,,,,,,,,,,
48,48,1,,,,,,,,,,,,,,,,,0.046,0.004,0.041,,,,,,,,,,,,
49,1,49,0.011,0.,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1,0.02,0.,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,55,0.013,0.,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7,8,0.003,0.,0.003,,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
58,1,58,,,,,,,,,,,,,,,,,0.011,0.,0.011,,,,,,,,,,,,
58,58,1,,,,,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
61,1,61,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,64,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
67,1,67,0.018,0.,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.01,0.,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,,,,,0.014,0.,0.014,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
72,8,9,0.004,0.,0.004,,,,,,,0.10079,0.00017,0.00053,0.00023,0.101,0.,0.002,0.004,0.,0.004,0.,0.,0.,,,,,,,,,
74,1,74,0.02,0.,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.011,0.,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.09988,0.00018,0.00051,0.00039,0.101,0.,0.002,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.09958,0.00018,0.00049,0.00031,0.1,0.,0.001,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,,,,,0.018,0.,0.018,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
80,1,80,0.023,0.,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.013,0.,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.03,0.,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
90,9,10,0.005,0.,0.005,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
92,1,92,0.028,0.,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.022,0.,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.033,0.,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.021,0.,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,,,,,0.026,0.,0.026,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,,,,,0.013,0.,0.013,,,,,,,,,,,,
