param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
87,0.257,0.,0.257,0.149,0.,0.149,0.106,0.,0.106,0.,0.,0.
88,0.282,0.,0.282,0.166,0.,0.166,0.115,0.,0.115,0.,0.,0.
89,0.264,0.,0.264,0.158,0.,0.158,0.105,0.,0.105,0.,0.,0.
90,0.275,0.,0.275,0.161,0.,0.161,0.112,0.,0.112,0.,0.,0.
91,0.268,0.,0.268,0.157,0.,0.157,0.109,0.,0.109,0.,0.,0.
92,0.282,0.,0.282,0.169,0.,0.169,0.112,0.,0.112,0.,0.,0.
93,0.278,0.,0.278,0.16,0.,0.16,0.115,0.,0.115,0.,0.,0.
94,0.269,0.003,0.265,0.153,0.003,0.149,0.114,0.,0.114,0.,0.,0.
95,0.288,0.,0.288,0.163,0.,0.163,0.122,0.,0.122,0.,0.,0.
96,0.298,0.,0.298,0.166,0.,0.166,0.131,0.,0.131,0.,0.,0.
97,0.303,0.,0.303,0.172,0.,0.172,0.128,0.,0.128,0.,0.,0.
98,0.304,0.003,0.3,0.174,0.003,0.17,0.128,0.,0.128,0.,0.,0.
99,0.3,0.003,0.296,0.168,0.003,0.164,0.13,0.,0.13,0.,0.,0.
100,0.31,0.008,0.301,0.177,0.,0.177,0.131,0.007,0.123,0.,0.,0.
110,0.372,0.,0.372,0.208,0.,0.208,0.162,0.,0.162,0.,0.,0.
120,0.442,0.003,0.438,0.252,0.003,0.249,0.187,0.,0.187,0.,0.,0.
130,0.548,0.,0.548,0.332,0.,0.332,0.214,0.,0.214,0.,0.,0.
140,0.63,0.,0.63,0.358,0.,0.358,0.27,0.,0.27,0.,0.,0.
150,0.816,0.003,0.811,0.402,0.,0.401,0.413,0.003,0.409,0.,0.,0.
160,0.845,0.003,0.841,0.506,0.003,0.502,0.337,0.,0.337,0.,0.,0.
170,0.9,0.003,0.896,0.518,0.,0.518,0.38,0.003,0.376,0.,0.,0.
180,0.989,0.003,0.985,0.572,0.,0.572,0.414,0.003,0.41,0.,0.,0.
190,1.097,0.003,1.093,0.604,0.,0.604,0.49,0.003,0.486,0.,0.,0.
200,1.516,0.012,1.504,0.866,0.007,0.858,0.648,0.004,0.644,0.,0.,0.
