param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.001,0.,0.,0.,0.,0.
16,4,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
32,5,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001
64,6,0.,0.,0.,0.006,0.,0.006,0.004,0.,0.004
128,7,0.,0.,0.,0.027,0.,0.026,0.007,0.,0.007
256,8,0.,0.,0.,0.036,0.,0.036,0.014,0.003,0.011
512,9,0.,0.,0.,0.1,0.,0.1,0.03,0.,0.03
1024,10,0.,0.,0.,0.25,0.,0.25,0.059,0.,0.059
2048,11,0.,0.,0.,0.893,0.003,0.889,0.169,0.,0.169
4096,12,0.,0.,0.,2.86,0.016,2.844,0.296,0.,0.296
8192,13,0.,0.,0.,9.089,0.024,9.064,0.608,0.019,0.588
16384,14,0.,0.,0.,31.42,0.076,31.341,1.651,0.007,1.643
