param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.003,0.,0.002,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002
1,0.004,0.002,0.002,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.002,0.002,0.003,0.,0.003
2,0.007,0.,0.006,0.007,0.001,0.005,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.005,0.006,0.001,0.004
3,0.012,0.002,0.009,0.012,0.001,0.01,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.011,0.001,0.009,0.01,0.,0.009
4,0.015,0.004,0.011,0.015,0.004,0.01,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.001,0.,0.013,0.004,0.009,0.013,0.003,0.009
5,0.056,0.003,0.052,0.056,0.007,0.048,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.,0.054,0.003,0.05,0.054,0.007,0.047
6,0.024,0.,0.024,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.021,0.,0.021,0.018,0.,0.018
7,0.025,0.,0.025,0.025,0.,0.025,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.023,0.,0.023,0.022,0.,0.022
8,0.03,0.,0.03,0.03,0.,0.03,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.027,0.,0.027,0.027,0.,0.027
9,0.037,0.,0.036,0.037,0.,0.037,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.001,0.002,0.,0.002,0.033,0.,0.033,0.033,0.,0.033
10,0.089,0.009,0.08,0.089,0.01,0.078,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.085,0.009,0.076,0.085,0.01,0.074
11,0.053,0.,0.053,0.051,0.,0.051,0.001,0.,0.001,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002,0.047,0.,0.047,0.046,0.,0.046
12,0.058,0.,0.058,0.059,0.,0.059,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.053,0.,0.053,0.054,0.,0.054
13,0.068,0.,0.068,0.068,0.,0.068,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.062,0.,0.062,0.062,0.,0.062
14,0.078,0.,0.077,0.077,0.,0.077,0.002,0.,0.002,0.002,0.,0.002,0.004,0.,0.003,0.003,0.,0.003,0.072,0.,0.072,0.071,0.,0.071
15,0.088,0.,0.088,0.089,0.,0.089,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.081,0.,0.081,0.082,0.,0.082
16,0.099,0.,0.099,0.098,0.,0.098,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.092,0.,0.092,0.091,0.,0.091
17,0.111,0.,0.111,0.11,0.,0.11,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.004,0.005,0.,0.005,0.103,0.,0.103,0.102,0.,0.102
18,0.122,0.,0.122,0.124,0.,0.124,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.114,0.,0.114,0.115,0.,0.115
19,0.137,0.,0.137,0.138,0.,0.138,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.128,0.,0.128,0.129,0.,0.129
20,0.155,0.002,0.152,0.154,0.,0.154,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.145,0.002,0.143,0.144,0.,0.144
21,0.167,0.,0.166,0.168,0.,0.168,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.157,0.,0.156,0.158,0.,0.158
22,0.184,0.,0.184,0.184,0.,0.184,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.173,0.,0.173,0.174,0.,0.174
23,0.201,0.,0.201,0.203,0.,0.203,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.189,0.,0.189,0.192,0.,0.192
24,0.22,0.,0.22,0.22,0.,0.22,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.006,0.006,0.,0.006,0.208,0.,0.208,0.208,0.,0.208
25,0.24,0.,0.24,0.241,0.,0.241,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.006,0.,0.006,0.227,0.,0.227,0.228,0.,0.228
30,0.36,0.,0.36,0.362,0.,0.361,0.008,0.,0.008,0.008,0.,0.008,0.008,0.,0.008,0.008,0.,0.008,0.343,0.,0.343,0.345,0.,0.344
35,0.508,0.,0.508,0.51,0.,0.51,0.01,0.,0.01,0.011,0.,0.011,0.01,0.,0.01,0.01,0.,0.01,0.487,0.,0.487,0.488,0.,0.488
40,0.702,0.,0.702,0.707,0.,0.707,0.014,0.,0.014,0.014,0.,0.014,0.012,0.,0.012,0.012,0.,0.012,0.674,0.,0.674,0.68,0.,0.68
45,0.931,0.,0.929,0.931,0.,0.93,0.016,0.,0.016,0.016,0.,0.016,0.016,0.,0.016,0.017,0.,0.017,0.898,0.,0.897,0.897,0.,0.896
50,1.209,0.,1.208,1.22,0.002,1.218,0.021,0.,0.021,0.02,0.,0.02,0.017,0.,0.017,0.019,0.001,0.018,1.17,0.,1.169,1.18,0.,1.179
