param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
32,5,0.003,0.,0.003,0.002,0.,0.002,0.,0.,0.
64,6,0.006,0.001,0.004,0.004,0.001,0.002,0.001,0.,0.001
128,7,0.049,0.008,0.041,0.045,0.007,0.038,0.003,0.,0.002
256,8,0.023,0.,0.023,0.016,0.,0.016,0.006,0.,0.006
512,9,0.057,0.,0.056,0.044,0.,0.043,0.013,0.,0.013
1024,10,0.101,0.,0.101,0.074,0.,0.074,0.027,0.,0.027
2048,11,0.273,0.007,0.265,0.197,0.005,0.191,0.075,0.001,0.073
4096,12,0.489,0.004,0.484,0.335,0.001,0.333,0.154,0.003,0.151
8192,13,1.132,0.01,1.121,0.83,0.008,0.822,0.302,0.002,0.299
16384,14,2.323,0.02,2.302,1.71,0.018,1.691,0.613,0.002,0.611
