param-n,abstract-regression-cubic-real,abstract-regression-cubic-sys,abstract-regression-cubic-user,close-abstract-regression-cubic-real,close-abstract-regression-cubic-sys,close-abstract-regression-cubic-user,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
87,0.017,0.,0.017,0.008,0.,0.008,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
88,0.02,0.,0.02,0.012,0.,0.012,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
89,0.018,0.,0.018,0.009,0.,0.009,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
90,0.018,0.,0.018,0.009,0.,0.009,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
91,0.018,0.,0.018,0.009,0.,0.009,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
92,0.02,0.,0.02,0.009,0.,0.009,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
93,0.019,0.,0.019,0.009,0.,0.009,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
94,0.019,0.,0.019,0.01,0.,0.01,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
95,0.022,0.,0.022,0.009,0.,0.009,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
96,0.02,0.,0.02,0.01,0.,0.01,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
97,0.02,0.,0.02,0.01,0.,0.01,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
98,0.022,0.,0.022,0.011,0.,0.011,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
99,0.021,0.,0.021,0.011,0.,0.011,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
100,0.066,0.003,0.062,0.011,0.,0.011,0.055,0.003,0.051,0.055,0.003,0.051,0.,0.,0.
110,0.026,0.,0.026,0.014,0.,0.014,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
120,0.036,0.,0.036,0.018,0.,0.018,0.017,0.,0.017,0.017,0.,0.017,0.,0.,0.
130,0.045,0.,0.045,0.022,0.,0.022,0.022,0.,0.022,0.022,0.,0.022,0.,0.,0.
140,0.054,0.003,0.05,0.027,0.,0.027,0.026,0.003,0.022,0.026,0.003,0.022,0.,0.,0.
150,0.057,0.,0.057,0.031,0.,0.031,0.025,0.,0.025,0.025,0.,0.025,0.,0.,0.
160,0.075,0.,0.075,0.038,0.,0.038,0.036,0.,0.036,0.036,0.,0.036,0.001,0.,0.001
170,0.086,0.,0.086,0.044,0.,0.044,0.041,0.,0.041,0.041,0.,0.041,0.001,0.,0.001
180,0.101,0.003,0.097,0.052,0.003,0.048,0.048,0.,0.048,0.048,0.,0.048,0.001,0.,0.001
190,0.114,0.,0.114,0.06,0.,0.06,0.053,0.,0.053,0.053,0.,0.053,0.001,0.,0.001
200,0.127,0.003,0.123,0.069,0.,0.069,0.058,0.003,0.054,0.058,0.003,0.054,0.001,0.,0.001
210,0.144,0.003,0.14,0.079,0.,0.079,0.064,0.003,0.06,0.064,0.003,0.06,0.001,0.,0.001
220,0.145,0.004,0.141,0.089,0.,0.089,0.055,0.003,0.051,0.055,0.003,0.051,0.001,0.,0.001
230,0.159,0.,0.159,0.1,0.,0.1,0.058,0.,0.058,0.058,0.,0.058,0.001,0.,0.001
240,0.178,0.,0.178,0.113,0.,0.113,0.064,0.,0.064,0.064,0.,0.064,0.001,0.,0.001
250,0.217,0.003,0.213,0.128,0.,0.128,0.089,0.003,0.085,0.089,0.003,0.085,0.001,0.,0.001
260,0.215,0.003,0.211,0.141,0.,0.141,0.072,0.003,0.068,0.072,0.003,0.068,0.001,0.,0.001
270,0.255,0.,0.255,0.159,0.,0.159,0.095,0.,0.095,0.095,0.,0.095,0.001,0.,0.001
280,0.29,0.,0.29,0.176,0.,0.176,0.113,0.,0.113,0.113,0.,0.113,0.002,0.,0.002
290,0.315,0.,0.315,0.194,0.,0.194,0.12,0.,0.12,0.12,0.,0.12,0.002,0.,0.002
300,0.336,0.,0.336,0.213,0.,0.213,0.123,0.,0.123,0.123,0.,0.123,0.002,0.,0.002
310,0.354,0.,0.354,0.232,0.,0.232,0.121,0.,0.121,0.121,0.,0.121,0.002,0.,0.002
320,0.361,0.,0.361,0.254,0.,0.254,0.106,0.,0.106,0.106,0.,0.106,0.002,0.,0.002
330,0.389,0.,0.389,0.278,0.,0.278,0.11,0.,0.11,0.11,0.,0.11,0.002,0.,0.002
340,0.437,0.,0.437,0.304,0.,0.304,0.132,0.,0.132,0.132,0.,0.132,0.002,0.,0.002
350,0.469,0.003,0.466,0.327,0.,0.327,0.142,0.003,0.138,0.142,0.003,0.138,0.002,0.,0.002
360,0.527,0.,0.527,0.357,0.,0.357,0.169,0.,0.169,0.169,0.,0.169,0.002,0.,0.002
370,0.555,0.,0.555,0.384,0.,0.384,0.17,0.,0.17,0.17,0.,0.17,0.002,0.,0.002
380,0.556,0.,0.556,0.413,0.,0.413,0.141,0.,0.141,0.141,0.,0.141,0.002,0.,0.002
390,0.591,0.,0.591,0.445,0.,0.445,0.144,0.,0.144,0.144,0.,0.144,0.002,0.,0.002
400,0.633,0.,0.633,0.479,0.,0.479,0.154,0.,0.154,0.154,0.,0.154,0.002,0.,0.002
500,1.212,0.,1.212,0.94,0.,0.94,0.271,0.,0.271,0.271,0.,0.271,0.003,0.,0.003
600,1.888,0.007,1.88,1.563,0.,1.563,0.324,0.007,0.316,0.324,0.007,0.316,0.004,0.,0.004
700,2.907,0.,2.907,2.462,0.,2.462,0.444,0.,0.444,0.444,0.,0.444,0.005,0.,0.005
800,4.121,0.,4.121,3.625,0.,3.625,0.494,0.,0.494,0.494,0.,0.494,0.005,0.,0.005
900,5.796,0.003,5.791,5.132,0.,5.131,0.663,0.003,0.659,0.663,0.003,0.659,0.006,0.,0.006
1000,7.743,0.004,7.738,6.969,0.004,6.964,0.773,0.,0.773,0.773,0.,0.773,0.007,0.,0.007
