param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001
1,0.005,0.,0.005,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.003,0.,0.003
2,0.008,0.002,0.005,0.007,0.,0.006,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.002,0.003,0.006,0.,0.005
3,0.011,0.003,0.008,0.011,0.,0.01,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.01,0.003,0.007,0.009,0.,0.008
4,0.059,0.003,0.055,0.057,0.001,0.055,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.057,0.003,0.053,0.055,0.001,0.053
5,0.017,0.,0.017,0.016,0.,0.016,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.014,0.,0.014,0.014,0.,0.014
6,0.023,0.,0.023,0.023,0.,0.023,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.02,0.,0.02,0.02,0.,0.02
7,0.028,0.,0.028,0.028,0.,0.028,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.025,0.,0.025,0.025,0.,0.025
8,0.036,0.,0.036,0.036,0.,0.036,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.032,0.,0.032,0.032,0.,0.032
9,0.044,0.,0.044,0.045,0.,0.045,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.04,0.,0.04,0.04,0.,0.04
10,0.101,0.004,0.097,0.099,0.007,0.092,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.096,0.004,0.092,0.094,0.007,0.087
11,0.067,0.,0.067,0.067,0.,0.066,0.002,0.,0.002,0.003,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.061,0.,0.061,0.061,0.,0.061
12,0.08,0.,0.08,0.08,0.,0.08,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.073,0.,0.073,0.073,0.,0.073
13,0.096,0.,0.096,0.096,0.,0.096,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.088,0.,0.088,0.088,0.,0.088
14,0.114,0.,0.114,0.115,0.,0.115,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.105,0.,0.105,0.106,0.,0.106
15,0.136,0.,0.136,0.136,0.,0.136,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005,0.127,0.,0.127,0.126,0.,0.126
16,0.159,0.,0.159,0.16,0.,0.16,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.148,0.,0.148,0.149,0.,0.149
17,0.186,0.,0.186,0.19,0.,0.189,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.006,0.006,0.,0.006,0.174,0.,0.174,0.178,0.,0.178
18,0.216,0.,0.216,0.217,0.,0.217,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.006,0.007,0.,0.007,0.204,0.,0.204,0.204,0.,0.204
19,0.251,0.,0.251,0.25,0.001,0.248,0.006,0.,0.006,0.005,0.,0.005,0.007,0.,0.007,0.007,0.,0.007,0.237,0.,0.237,0.236,0.001,0.235
20,0.288,0.,0.288,0.284,0.,0.283,0.006,0.,0.006,0.006,0.,0.006,0.008,0.,0.008,0.008,0.,0.008,0.273,0.,0.272,0.269,0.,0.268
21,0.333,0.,0.333,0.334,0.,0.334,0.007,0.,0.007,0.007,0.,0.007,0.009,0.,0.009,0.009,0.,0.009,0.317,0.,0.316,0.317,0.,0.317
22,0.382,0.,0.382,0.38,0.,0.38,0.007,0.,0.007,0.007,0.,0.007,0.01,0.,0.01,0.01,0.,0.01,0.364,0.,0.364,0.362,0.,0.362
23,0.432,0.,0.432,0.432,0.,0.432,0.008,0.,0.008,0.008,0.,0.008,0.011,0.,0.011,0.011,0.,0.011,0.413,0.,0.413,0.413,0.,0.413
24,0.492,0.,0.492,0.494,0.,0.494,0.008,0.,0.008,0.009,0.,0.009,0.012,0.,0.012,0.012,0.,0.012,0.471,0.,0.471,0.472,0.,0.472
25,0.558,0.,0.558,0.561,0.,0.561,0.009,0.,0.009,0.009,0.,0.009,0.013,0.,0.013,0.013,0.,0.013,0.535,0.,0.535,0.538,0.,0.538
30,0.994,0.,0.994,0.982,0.,0.982,0.014,0.,0.014,0.014,0.,0.014,0.019,0.,0.019,0.019,0.,0.019,0.959,0.,0.959,0.948,0.,0.948
35,1.671,0.,1.67,1.669,0.,1.669,0.017,0.,0.017,0.016,0.,0.016,0.029,0.,0.029,0.031,0.,0.031,1.623,0.,1.623,1.621,0.,1.621
40,2.638,0.,2.637,2.609,0.,2.608,0.02,0.,0.02,0.02,0.,0.019,0.04,0.,0.04,0.042,0.,0.042,2.575,0.,2.575,2.546,0.,2.546
45,4.026,0.,4.025,4.022,0.,4.022,0.026,0.,0.026,0.025,0.,0.025,0.056,0.,0.056,0.057,0.,0.057,3.943,0.,3.942,3.938,0.,3.938
50,5.901,0.,5.901,5.908,0.,5.908,0.031,0.,0.031,0.032,0.,0.032,0.075,0.,0.075,0.074,0.,0.074,5.794,0.,5.794,5.801,0.,5.801
