param-n,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
420,0.175,0.,0.175,0.175,0.,0.175,0.003,0.,0.003
430,0.166,0.,0.166,0.166,0.,0.166,0.003,0.,0.003
440,0.17,0.,0.17,0.17,0.,0.17,0.003,0.,0.003
450,0.181,0.,0.181,0.181,0.,0.181,0.003,0.,0.003
460,0.226,0.,0.226,0.226,0.,0.226,0.003,0.,0.003
470,0.224,0.,0.224,0.224,0.,0.224,0.003,0.,0.003
480,0.199,0.003,0.195,0.199,0.003,0.195,0.003,0.,0.003
490,0.204,0.,0.204,0.204,0.,0.204,0.003,0.,0.003
500,0.221,0.,0.221,0.221,0.,0.221,0.003,0.,0.003
510,0.267,0.,0.267,0.267,0.,0.267,0.003,0.,0.003
520,0.246,0.,0.246,0.246,0.,0.246,0.004,0.,0.004
530,0.234,0.,0.234,0.234,0.,0.234,0.003,0.,0.003
540,0.236,0.,0.236,0.236,0.,0.236,0.003,0.,0.003
550,0.296,0.,0.296,0.296,0.,0.296,0.004,0.,0.004
560,0.287,0.,0.287,0.287,0.,0.287,0.004,0.,0.004
570,0.264,0.,0.264,0.264,0.,0.264,0.004,0.,0.004
580,0.27,0.,0.27,0.27,0.,0.27,0.004,0.,0.004
590,0.338,0.,0.338,0.338,0.,0.338,0.004,0.,0.004
600,0.304,0.,0.304,0.304,0.,0.304,0.004,0.,0.004
610,0.293,0.,0.293,0.293,0.,0.293,0.004,0.,0.004
620,0.341,0.,0.341,0.341,0.,0.341,0.004,0.,0.004
630,0.352,0.,0.352,0.352,0.,0.352,0.004,0.,0.004
640,0.317,0.,0.317,0.317,0.,0.317,0.004,0.,0.004
650,0.359,0.,0.359,0.359,0.,0.359,0.005,0.,0.005
660,0.388,0.,0.388,0.388,0.,0.388,0.005,0.,0.005
670,0.346,0.,0.346,0.346,0.,0.346,0.005,0.,0.005
680,0.392,0.,0.392,0.392,0.,0.392,0.005,0.,0.005
690,0.408,0.,0.408,0.408,0.,0.408,0.004,0.,0.004
700,0.369,0.,0.369,0.369,0.,0.369,0.004,0.,0.004
710,0.449,0.,0.449,0.448,0.,0.448,0.005,0.,0.005
720,0.403,0.,0.403,0.403,0.,0.403,0.005,0.,0.005
730,0.423,0.,0.423,0.423,0.,0.423,0.005,0.,0.005
740,0.469,0.,0.467,0.469,0.,0.467,0.005,0.,0.005
750,0.419,0.,0.419,0.419,0.,0.419,0.005,0.,0.005
760,0.502,0.,0.502,0.502,0.,0.502,0.005,0.,0.005
770,0.442,0.001,0.44,0.442,0.001,0.44,0.006,0.,0.006
780,0.506,0.,0.506,0.506,0.,0.505,0.006,0.,0.006
790,0.473,0.,0.473,0.473,0.,0.473,0.006,0.,0.006
800,0.491,0.,0.491,0.491,0.,0.491,0.006,0.,0.006
810,0.535,0.,0.535,0.535,0.,0.535,0.006,0.,0.006
820,0.495,0.,0.495,0.495,0.,0.495,0.006,0.,0.006
830,0.577,0.,0.577,0.577,0.,0.577,0.006,0.,0.006
840,0.506,0.,0.506,0.506,0.,0.506,0.006,0.,0.006
850,0.596,0.,0.596,0.596,0.,0.596,0.006,0.,0.006
860,0.526,0.,0.526,0.526,0.,0.526,0.006,0.,0.006
870,0.619,0.,0.619,0.619,0.,0.619,0.006,0.,0.006
880,0.551,0.,0.551,0.551,0.,0.551,0.007,0.,0.007
890,0.651,0.,0.651,0.651,0.,0.651,0.007,0.,0.007
900,0.587,0.,0.587,0.587,0.,0.587,0.006,0.,0.006
910,0.652,0.003,0.648,0.652,0.003,0.648,0.006,0.,0.006
920,0.632,0.,0.632,0.632,0.,0.632,0.007,0.,0.007
930,0.66,0.,0.66,0.66,0.,0.66,0.007,0.,0.007
940,0.65,0.,0.65,0.65,0.,0.65,0.006,0.,0.006
950,0.673,0.,0.673,0.673,0.,0.673,0.006,0.,0.006
960,0.688,0.,0.688,0.688,0.,0.688,0.006,0.,0.006
970,0.68,0.,0.68,0.68,0.,0.68,0.007,0.,0.007
980,0.739,0.,0.739,0.739,0.,0.739,0.007,0.,0.007
990,0.671,0.,0.67,0.671,0.,0.67,0.007,0.,0.007
1000,0.763,0.,0.763,0.763,0.,0.763,0.007,0.,0.007
1100,0.887,0.,0.887,0.887,0.,0.887,0.008,0.,0.008
1200,1.001,0.,1.001,1.001,0.,1.001,0.009,0.,0.009
1300,1.139,0.,1.139,1.139,0.,1.139,0.01,0.,0.01
1400,1.332,0.,1.332,1.332,0.,1.332,0.011,0.,0.011
1500,1.504,0.,1.504,1.504,0.,1.504,0.012,0.,0.012
1600,1.722,0.007,1.714,1.722,0.007,1.714,0.012,0.,0.012
1700,1.914,0.,1.914,1.914,0.,1.914,0.013,0.,0.013
1800,2.13,0.007,2.122,2.13,0.007,2.122,0.014,0.,0.014
1900,2.269,0.003,2.265,2.269,0.003,2.265,0.015,0.,0.015
2000,2.537,0.,2.537,2.537,0.,2.537,0.016,0.,0.016
3000,5.412,0.035,5.376,5.412,0.035,5.376,0.024,0.,0.024
4000,9.625,0.04,9.584,9.625,0.04,9.584,0.033,0.,0.033
5000,15.014,0.067,14.945,15.014,0.067,14.945,0.05,0.,0.05
