param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1115,,,,0.256,0.,0.256,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.184,0.019,0.041,0.131,0.004,0.005,,,,0.019,0.,0.019
1146,,,,0.276,0.,0.276,,,,,,,,,,,,,,,
1164,,,,,,,0.826,0.008,0.818,,,,,,,,,,,,
1171,,,,,,,0.793,0.,0.793,,,,,,,,,,,,
1177,,,,0.296,0.,0.296,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,0.021,0.,0.021
1208,,,,0.303,0.,0.303,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,0.022,0.,0.022
1239,,,,0.321,0.,0.321,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.13,0.003,0.006,0.135,0.003,0.007,,,,,,
1256,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
1261,,,,,,,0.912,0.,0.912,,,,,,,,,,,,
1269,,,,0.33,0.,0.33,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,0.025,0.,0.025
1300,,,,0.351,0.007,0.343,,,,,,,,,,,,,,,
1331,,,,0.359,0.,0.359,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,0.026,0.,0.026
1351,,,,,,,0.992,0.,0.992,,,,,,,,,,,,
1362,,,,0.391,0.,0.391,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.134,0.004,0.007,0.132,0.007,0.004,,,,,,
1370,,,,0.383,0.,0.383,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,0.028,0.,0.028
