param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
32,5,0.,0.,0.,0.002,0.,0.002,0.,0.,0.
64,6,0.,0.,0.,0.004,0.,0.004,0.001,0.,0.001
128,7,0.,0.,0.,0.053,0.,0.053,0.004,0.,0.004
256,8,0.,0.,0.,0.024,0.,0.024,0.006,0.,0.006
512,9,0.,0.,0.,0.049,0.,0.049,0.013,0.,0.013
1024,10,0.,0.,0.,0.148,0.,0.148,0.027,0.,0.027
2048,11,0.,0.,0.,0.472,0.003,0.468,0.07,0.,0.07
4096,12,0.,0.,0.,1.421,0.,1.421,0.155,0.,0.155
8192,13,0.,0.,0.,4.832,0.,4.831,0.313,0.003,0.309
16384,14,0.,0.,0.,17.845,0.027,17.816,0.596,0.004,0.592
