param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.001,0.001,0.025,0.002,0.022
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.001,0.,0.015,0.,0.014
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.006,0.007,0.001,0.005,0.075,0.003,0.071
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.001,0.003,0.023,0.,0.023
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.016,0.,0.016,0.069,0.,0.069
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.002,0.006,0.009,0.,0.008,0.042,0.,0.042
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.012,0.003,0.009,0.012,0.002,0.01,0.038,0.,0.038
5,1,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.042,0.007,0.035,0.042,0.005,0.036,0.163,0.016,0.147
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.019,0.,0.019,0.062,0.,0.062
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.108,0.,0.108
7,1,7,,,,,,,,,,,,,,,,,,,0.152,0.013,0.139,0.152,0.01,0.142,0.378,0.014,0.363
7,7,1,,,,,,,,,,,,,,,,,,,0.052,0.,0.052,0.055,0.,0.055,0.148,0.,0.148
8,1,8,,,,,,,,,,,,,,,,,,,0.181,0.,0.181,0.18,0.,0.18,0.507,0.,0.507
8,2,4,,,,,,,,,,,,,,,,,,,0.07,0.,0.07,0.07,0.,0.07,0.139,0.,0.139
8,4,2,,,,,,,,,,,,,,,,,,,0.047,0.,0.047,0.047,0.,0.047,0.144,0.,0.144
8,8,1,,,,,,,,,,,,,,,,,,,0.074,0.,0.074,0.084,0.,0.084,0.214,0.,0.214
9,1,9,,,,,,,,,,,,,,,,,,,0.278,0.,0.278,0.281,0.,0.281,0.755,0.,0.755
9,3,3,,,,,,,,,,,,,,,,,,,0.072,0.,0.072,0.074,0.,0.074,0.221,0.,0.221
9,9,1,,,,,,,,,,,,,,,,,,,0.11,0.,0.11,0.122,0.,0.122,0.306,0.,0.305
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.,1.1
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.426,0.,0.423
11,1,11,,,,,,,,,,,,,,,,,,,0.661,0.,0.661,0.669,0.,0.668,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.209,0.,0.209,0.234,0.,0.233,,,
12,1,12,0.002,0.001,0.001,,,,,,,,,,,,,,,,0.994,0.,0.991,0.994,0.001,0.992,,,
12,3,4,0.001,0.,0.,,,,,,,,,,,,,,,,0.181,0.,0.181,0.189,0.,0.189,0.221,0.,0.221
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,0.279,0.,0.279,0.317,0.,0.317,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,2.702,0.001,2.7
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0.982,0.,0.98
15,1,15,,,,,,,,,,,,,,,,,,,3.125,0.004,3.12,3.14,0.005,3.135,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.551,0.,0.551,0.636,0.,0.636,,,
16,1,16,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,7.193,0.006,7.186
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,2.426,0.001,2.423
