param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.001,0.001,0.003,0.001,0.002,0.003,0.,0.003
20,0.008,0.,0.008,0.045,0.004,0.041,0.011,0.002,0.009
30,0.021,0.,0.021,0.021,0.,0.021,0.021,0.,0.021
40,0.043,0.,0.043,0.043,0.,0.043,0.043,0.,0.043
50,0.076,0.,0.076,0.076,0.,0.076,0.117,0.005,0.112
60,0.129,0.,0.129,0.129,0.,0.129,0.13,0.,0.13
70,0.2,0.,0.2,0.2,0.,0.2,0.201,0.,0.201
80,0.29,0.,0.29,0.293,0.,0.293,0.294,0.,0.294
90,0.414,0.,0.413,0.413,0.,0.413,0.412,0.,0.412
100,0.549,0.,0.549,0.553,0.,0.553,0.554,0.,0.554
110,0.75,0.,0.75,0.744,0.,0.744,0.748,0.,0.748
120,0.961,0.,0.961,0.961,0.,0.96,0.967,0.,0.967
130,1.231,0.,1.231,1.233,0.,1.232,1.217,0.,1.217
140,1.544,0.,1.544,1.537,0.,1.537,1.536,0.,1.536
150,1.848,0.,1.848,1.852,0.,1.851,1.852,0.,1.852
160,2.301,0.,2.3,2.283,0.,2.283,2.273,0.,2.273
170,2.75,0.,2.75,2.75,0.,2.75,2.748,0.,2.748
180,3.261,0.,3.261,3.217,0.001,3.216,3.26,0.,3.259
190,3.851,0.001,3.849,3.826,0.,3.824,3.823,0.,3.822
200,4.463,0.,4.463,4.454,0.,4.454,4.416,0.,4.416
