param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.001,0.004
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.002,0.016,0.003,0.012
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.,0.009,0.,0.008
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.001,0.005,0.006,0.001,0.005,0.064,0.005,0.058
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.001,0.004,0.004,0.,0.004,0.015,0.,0.015
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.05,0.004,0.046,0.05,0.005,0.045,0.047,0.,0.047
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.001,0.006,0.008,0.001,0.006,0.027,0.,0.027
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.003,0.008,0.011,0.003,0.008,0.026,0.,0.026
5,1,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.039,0.007,0.032,0.04,0.008,0.032,0.133,0.014,0.119
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.053,0.004,0.048,0.054,0.004,0.05,0.043,0.,0.043
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.078,0.,0.078
7,1,7,,,,,,,,,,,,,,,,,,,0.139,0.017,0.122,0.141,0.018,0.123,0.286,0.014,0.271
7,7,1,,,,,,,,,,,,,,,,,,,0.047,0.,0.047,0.051,0.,0.051,0.109,0.,0.109
8,1,8,,,,,,,,,,,,,,,,,,,0.16,0.,0.16,0.16,0.,0.159,0.395,0.,0.395
8,2,4,,,,,,,,,,,,,,,,,,,0.063,0.,0.063,0.063,0.,0.063,0.094,0.,0.094
8,4,2,,,,,,,,,,,,,,,,,,,0.043,0.,0.043,0.044,0.,0.044,0.097,0.,0.097
8,8,1,,,,,,,,,,,,,,,,,,,0.071,0.001,0.07,0.076,0.,0.076,0.158,0.,0.157
9,1,9,,,,,,,,,,,,,,,,,,,0.254,0.,0.254,0.253,0.,0.253,0.569,0.,0.569
9,3,3,,,,,,,,,,,,,,,,,,,0.067,0.,0.067,0.068,0.,0.067,0.155,0.,0.155
9,9,1,,,,,,,,,,,,,,,,,,,0.104,0.,0.104,0.116,0.,0.116,0.232,0.,0.232
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,0.845,0.,0.845
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.325,0.,0.325
11,1,11,,,,,,,,,,,,,,,,,,,0.599,0.001,0.597,0.593,0.003,0.589,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.207,0.,0.207,0.219,0.,0.219,,,
12,1,12,0.002,0.001,0.001,,,,,,,,,,,,,,,,0.884,0.,0.883,0.882,0.,0.881,,,
12,3,4,0.001,0.,0.,,,,,,,,,,,,,,,,0.173,0.,0.173,0.168,0.,0.168,0.161,0.,0.161
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,0.26,0.,0.26,0.29,0.,0.29,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,2.129,0.,2.127
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0.761,0.,0.76
15,1,15,,,,,,,,,,,,,,,,,,,2.775,0.002,2.769,2.757,0.008,2.748,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.517,0.,0.517,0.592,0.001,0.59,,,
16,1,16,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,5.839,0.012,5.823
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,1.922,0.004,1.917
18,1,18,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,0.394,0.,0.394
24,1,24,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,0.002,0.,0.001,,,,,,,,,,,,
