param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
20,0.006,0.,0.006,0.017,0.,0.017,0.007,0.,0.007
30,0.011,0.,0.011,0.012,0.,0.012,0.012,0.,0.012
40,0.016,0.,0.016,0.017,0.,0.017,0.095,0.,0.095
50,0.112,0.,0.112,0.026,0.,0.026,0.039,0.,0.039
60,0.032,0.,0.032,0.05,0.,0.05,0.033,0.,0.033
70,0.042,0.,0.042,0.043,0.,0.043,0.045,0.,0.045
80,0.069,0.,0.069,0.055,0.,0.055,0.065,0.,0.065
90,0.089,0.,0.089,0.07,0.,0.07,0.152,0.,0.152
100,0.076,0.,0.076,0.096,0.,0.096,0.084,0.,0.084
110,0.099,0.,0.099,0.107,0.,0.107,0.095,0.,0.095
120,0.106,0.,0.106,0.108,0.,0.108,0.111,0.,0.111
130,0.131,0.,0.131,0.128,0.,0.128,0.13,0.,0.13
140,0.144,0.,0.144,0.147,0.,0.147,0.164,0.,0.164
150,0.189,0.,0.189,0.267,0.,0.267,0.182,0.,0.182
160,0.198,0.,0.198,0.197,0.,0.197,0.195,0.,0.195
170,0.21,0.,0.21,0.215,0.,0.215,0.225,0.,0.225
180,0.253,0.,0.253,0.243,0.,0.243,0.241,0.,0.241
190,0.261,0.,0.261,0.28,0.003,0.277,0.276,0.,0.276
200,0.292,0.,0.292,0.297,0.,0.297,0.326,0.001,0.325
