param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.
1,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001
2,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002
10,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.012,0.,0.012,0.008,0.,0.008
20,0.043,0.,0.042,0.01,0.,0.01,0.006,0.,0.006,0.007,0.,0.007,0.037,0.,0.037,0.031,0.,0.031
30,0.141,0.,0.141,0.022,0.,0.022,0.011,0.,0.011,0.023,0.003,0.019,0.127,0.,0.127,0.119,0.,0.119
40,0.123,0.003,0.119,0.059,0.003,0.055,0.017,0.,0.017,0.017,0.,0.017,0.095,0.,0.095,0.064,0.,0.064
50,0.246,0.008,0.237,0.057,0.,0.057,0.026,0.,0.026,0.037,0.,0.036,0.217,0.,0.217,0.188,0.008,0.18
60,0.22,0.,0.22,0.085,0.,0.085,0.043,0.,0.043,0.115,0.,0.115,0.171,0.,0.171,0.134,0.,0.134
70,0.398,0.,0.398,0.122,0.,0.122,0.045,0.,0.045,0.042,0.,0.042,0.315,0.003,0.311,0.276,0.,0.276
80,0.411,0.,0.41,0.152,0.,0.152,0.053,0.,0.053,0.053,0.,0.053,0.333,0.,0.333,0.257,0.,0.257
90,0.507,0.,0.507,0.175,0.,0.175,0.066,0.,0.066,0.086,0.,0.086,0.424,0.,0.424,0.331,0.,0.331
100,0.717,0.003,0.713,0.317,0.,0.317,0.161,0.,0.161,0.163,0.,0.163,0.522,0.003,0.518,0.399,0.003,0.395
110,0.78,0.003,0.776,0.254,0.,0.254,0.098,0.,0.098,0.095,0.,0.095,0.615,0.003,0.611,0.525,0.003,0.521
120,0.868,0.,0.868,0.262,0.,0.262,0.113,0.,0.113,0.122,0.,0.122,0.727,0.,0.727,0.606,0.,0.606
130,1.005,0.003,1.001,0.325,0.,0.325,0.138,0.,0.138,0.228,0.,0.228,0.838,0.007,0.83,0.68,0.003,0.676
140,1.175,0.007,1.167,0.357,0.,0.357,0.171,0.,0.171,0.184,0.,0.184,1.049,0.003,1.045,0.816,0.007,0.808
150,1.386,0.007,1.378,0.432,0.,0.432,0.18,0.,0.18,0.195,0.,0.195,1.273,0.004,1.269,0.953,0.007,0.945
160,1.532,0.,1.532,0.496,0.,0.496,0.223,0.,0.223,0.203,0.,0.203,1.429,0.011,1.417,1.035,0.,1.034
170,1.768,0.007,1.76,0.511,0.,0.511,0.226,0.,0.226,0.228,0.,0.228,1.551,0.003,1.547,1.256,0.007,1.248
180,1.979,0.008,1.971,0.59,0.,0.59,0.241,0.,0.241,0.255,0.,0.255,1.691,0.015,1.675,1.388,0.008,1.38
190,2.363,0.,2.363,0.714,0.,0.714,0.271,0.,0.271,0.275,0.,0.275,1.907,0.,1.907,1.648,0.,1.648
200,2.437,0.007,2.429,0.719,0.,0.719,0.3,0.,0.3,0.411,0.,0.411,2.134,0.004,2.129,1.717,0.007,1.709
210,2.803,0.,2.803,0.809,0.,0.809,0.341,0.,0.341,0.33,0.,0.33,2.311,0.,2.311,1.993,0.,1.992
220,3.356,0.011,3.343,0.96,0.,0.96,0.37,0.,0.37,0.381,0.,0.381,2.559,0.011,2.547,2.395,0.011,2.383
230,3.689,0.,3.689,1.078,0.,1.078,0.396,0.,0.396,0.448,0.,0.448,2.978,0.,2.978,2.61,0.,2.61
240,3.735,0.011,3.723,1.026,0.,1.026,0.442,0.,0.442,0.448,0.,0.448,3.201,0.003,3.197,2.707,0.011,2.695
250,4.136,0.007,4.128,1.212,0.,1.211,0.489,0.,0.489,0.498,0.,0.498,3.372,0.,3.372,2.924,0.007,2.916
300,6.293,0.,6.292,1.63,0.,1.63,0.684,0.,0.684,0.68,0.,0.68,5.257,0.,5.257,4.661,0.,4.661
400,12.286,0.011,12.273,2.875,0.,2.875,1.296,0.,1.296,1.3,0.,1.3,10.706,0.003,10.693,9.409,0.011,9.397
