param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.,0.001,0.002,0.,0.001,0.003,0.,0.003
20,0.043,0.001,0.041,0.006,0.002,0.004,0.006,0.,0.005
30,0.007,0.,0.007,0.008,0.,0.008,0.008,0.,0.008
40,0.012,0.,0.012,0.012,0.,0.012,0.013,0.,0.013
50,0.017,0.,0.017,0.018,0.,0.018,0.061,0.007,0.054
60,0.023,0.,0.023,0.023,0.,0.023,0.023,0.,0.023
70,0.029,0.,0.029,0.03,0.,0.03,0.03,0.,0.03
80,0.036,0.,0.036,0.037,0.,0.037,0.038,0.,0.038
90,0.045,0.,0.045,0.046,0.,0.046,0.047,0.,0.047
100,0.055,0.,0.055,0.055,0.,0.055,0.06,0.,0.06
110,0.065,0.,0.065,0.065,0.,0.065,0.067,0.,0.067
120,0.077,0.,0.077,0.077,0.,0.077,0.079,0.,0.079
130,0.089,0.,0.089,0.09,0.,0.09,0.091,0.,0.091
140,0.102,0.,0.102,0.104,0.,0.104,0.105,0.,0.105
150,0.117,0.,0.117,0.118,0.,0.118,0.119,0.,0.119
160,0.133,0.,0.133,0.133,0.,0.133,0.134,0.,0.134
170,0.149,0.,0.149,0.152,0.,0.152,0.152,0.,0.152
180,0.167,0.,0.166,0.168,0.,0.168,0.177,0.,0.177
190,0.183,0.,0.183,0.186,0.,0.185,0.188,0.,0.188
200,0.204,0.,0.204,0.206,0.,0.206,0.21,0.,0.21
