param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
433,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.,0.004
435,,,,,,,0.103,0.,0.103,,,,,,,,,,,,,,,,,,,,
439,,,,0.046,0.,0.046,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,0.116,0.,0.116,,,,,,,,,,,,,,,,,,,,
446,,,,,,,0.093,0.,0.093,,,,,,,,,,,,,,,,,,,,
447,,,,0.047,0.,0.047,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,0.118,0.,0.118,,,,,,,,,,,,,,,,,,,,
456,,,,0.047,0.,0.047,,,,0.10678,0.00026,0.00116,0.00048,0.108,0.,0.006,0.10702,0.00028,0.00116,0.00040,0.108,0.003,0.002,,,,,,
458,,,,0.097,0.004,0.092,,,,,,,,,,,,,,,,,,,,,,,
465,,,,0.05,0.,0.05,,,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,0.121,0.,0.121,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.,0.004
473,,,,0.05,0.,0.05,,,,,,,,,,,,,,,,,,,,,,,
482,,,,0.052,0.,0.052,,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,0.138,0.003,0.134,,,,,,,,,,,,,,,,,,,,
490,,,,0.054,0.,0.054,,,,,,,,,,,,,,,,,,,,,,,
499,,,,0.057,0.,0.057,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,0.109,0.003,0.105,,,,,,,,,,,,,,,,,,,,
507,,,,0.06,0.,0.06,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.,0.005
516,,,,0.064,0.,0.064,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,0.134,0.003,0.13,,,,,,,,,,,,,,,,,,,,
525,,,,0.065,0.,0.065,,,,,,,,,,,,,,,,,,,,,,,
533,,,,0.065,0.,0.065,,,,,,,,,,,,,,,,,,,,,,,
541,,,,,,,0.145,0.004,0.141,,,,,,,,,,,,,,,,,,,,
542,,,,0.07,0.,0.07,,,,,,,,,,,,,,,,,,,,,,,
550,,,,0.07,0.,0.07,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.,0.036
559,,,,0.07,0.,0.07,0.152,0.,0.152,,,,,,,,,,,,,,,,,,,,
567,,,,0.071,0.,0.071,,,,,,,,,,,,,,,,,,,,,,,
