param-n,case-and-regression-linear-real,case-and-regression-linear-sys,case-and-regression-linear-user,case-clear-intros-and-regression-linear-real,case-clear-intros-and-regression-linear-sys,case-clear-intros-and-regression-linear-user,case-clear-intros-or-regression-linear-real,case-clear-intros-or-regression-linear-sys,case-clear-intros-or-regression-linear-user,case-or-regression-linear-real,case-or-regression-linear-sys,case-or-regression-linear-user,destruct-and-regression-linear-real,destruct-and-regression-linear-sys,destruct-and-regression-linear-user,destruct-or-regression-linear-real,destruct-or-regression-linear-sys,destruct-or-regression-linear-user,intros-regression-linear-real,intros-regression-linear-sys,intros-regression-linear-user,lazy-regression-linear-real,lazy-regression-linear-sys,lazy-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.004,0.,0.004,0.001,0.,0.001,0.006,0.,0.006
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.002,0.,0.002,0.054,0.007,0.046
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.012,0.,0.012,0.01,0.,0.01,0.013,0.,0.013
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.018,0.,0.017,0.009,0.,0.009,0.072,0.011,0.061
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.02,0.,0.02,0.02,0.,0.02,0.017,0.,0.017,0.045,0.,0.045
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.034,0.,0.034,0.032,0.,0.032,0.048,0.,0.048,0.048,0.,0.048
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.052,0.,0.052,0.037,0.,0.037,0.056,0.,0.056,0.045,0.,0.045
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.037,0.,0.037,0.037,0.,0.037,0.04,0.,0.04,0.078,0.003,0.075
9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.041,0.,0.041,0.04,0.,0.04,0.047,0.,0.047,0.124,0.,0.124
10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.047,0.,0.047,0.047,0.,0.047,0.057,0.,0.057,0.095,0.,0.095
50,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.235,0.,0.235,0.205,0.,0.205,1.278,0.,1.278,0.549,0.008,0.541
100,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.442,0.003,0.438,0.394,0.,0.394,4.913,0.,4.913,0.986,0.015,0.97
150,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.624,0.,0.624,0.592,0.,0.592,10.657,0.,10.656,1.487,0.011,1.474
200,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.819,0.,0.819,0.807,0.,0.807,18.892,0.003,18.887,2.031,0.007,2.023
