param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
32,5,0.003,0.,0.003,0.002,0.,0.002,0.,0.,0.
64,6,0.006,0.,0.006,0.004,0.,0.004,0.002,0.,0.002
128,7,0.051,0.002,0.048,0.047,0.002,0.045,0.004,0.,0.003
256,8,0.027,0.,0.026,0.02,0.,0.019,0.006,0.,0.006
512,9,0.073,0.,0.073,0.059,0.,0.059,0.013,0.,0.013
1024,10,0.171,0.,0.171,0.143,0.,0.142,0.028,0.,0.028
2048,11,0.552,0.001,0.55,0.478,0.001,0.476,0.073,0.,0.073
4096,12,1.597,0.003,1.593,1.438,0.004,1.433,0.159,0.,0.159
8192,13,5.24,0.007,5.231,4.938,0.001,4.935,0.301,0.005,0.295
16384,14,19.547,0.021,19.524,18.943,0.02,18.92,0.604,0.,0.603
