Params: 0-n= 131071 , 1-lgn= 16
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.052 secs (0.051u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.052 secs (0.051u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.038 secs (0.037u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.108 secs (0.108u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.038 secs (0.038u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.069 secs (0.065u,0.003s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.045 secs (0.044u,0.s) (success)
Params: 0-n= 262143 , 1-lgn= 17
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.127 secs (0.126u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.085 secs (0.085u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.17 secs (0.17u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.077 secs (0.077u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.075 secs (0.075u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.078 secs (0.078u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.077 secs (0.077u,0.s) (success)
Params: 0-n= 524287 , 1-lgn= 18
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.318 secs (0.318u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.157 secs (0.157u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.156 secs (0.156u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.155 secs (0.155u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.158 secs (0.158u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.158 secs (0.158u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.157 secs (0.157u,0.s) (success)
Params: 0-n= 1048575 , 1-lgn= 19
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.376 secs (0.376u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.318 secs (0.318u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.314 secs (0.314u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.315 secs (0.315u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.32 secs (0.319u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.318 secs (0.318u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.312 secs (0.312u,0.s) (success)
Params: 0-n= 2097151 , 1-lgn= 20
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.816 secs (0.816u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.629 secs (0.629u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.63 secs (0.63u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.621 secs (0.621u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.622 secs (0.622u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.622 secs (0.622u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.638 secs (0.638u,0.s) (success)
Params: 0-n= 4194303 , 1-lgn= 21
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 1.72 secs (1.704u,0.015s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 1.257 secs (1.257u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 1.234 secs (1.234u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 1.241 secs (1.241u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 1.256 secs (1.256u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 1.272 secs (1.272u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 1.273 secs (1.273u,0.s) (success)
Params: 0-n= 8388607 , 1-lgn= 22
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 2.865 secs (2.865u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 2.536 secs (2.536u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 2.513 secs (2.513u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 2.472 secs (2.472u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 2.562 secs (2.562u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 2.55 secs (2.55u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 2.555 secs (2.555u,0.s) (success)
