param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
10,0.005,0.,0.005,0.006,0.,0.006,0.006,0.,0.006
20,0.018,0.,0.017,0.015,0.,0.015,0.017,0.,0.017
30,0.042,0.,0.042,0.039,0.,0.039,0.042,0.,0.042
40,0.073,0.,0.072,0.071,0.,0.071,0.083,0.,0.083
50,0.121,0.,0.121,0.144,0.004,0.139,0.117,0.,0.116
60,0.221,0.,0.221,0.283,0.,0.283,0.219,0.,0.219
70,0.331,0.,0.331,0.404,0.,0.404,0.322,0.,0.322
80,0.438,0.,0.438,0.571,0.003,0.567,0.437,0.,0.437
90,0.586,0.,0.586,0.592,0.,0.592,0.61,0.,0.61
100,0.861,0.,0.861,0.886,0.,0.886,0.855,0.,0.855
110,1.062,0.,1.062,1.082,0.,1.082,1.048,0.,1.048
120,1.364,0.,1.364,1.359,0.,1.359,1.377,0.,1.377
130,1.717,0.,1.716,1.704,0.,1.704,1.746,0.003,1.742
140,2.185,0.,2.185,2.165,0.,2.165,2.151,0.,2.151
150,2.379,0.,2.378,2.398,0.,2.398,2.409,0.,2.409
160,3.135,0.,3.134,3.171,0.,3.171,3.165,0.,3.165
170,3.772,0.,3.771,3.796,0.003,3.792,3.856,0.,3.856
180,4.551,0.003,4.547,4.516,0.,4.516,4.48,0.,4.477
190,5.485,0.,5.484,5.502,0.004,5.498,5.499,0.,5.499
200,5.707,0.003,5.703,5.704,0.003,5.697,5.757,0.,5.756
