param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.087,0.003,0.001,0.085,0.003,0.,0.001,0.,0.001,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.085,0.004,0.,0.087,0.003,0.001,0.003,0.,0.003,0.,0.,0.
4,0.047,0.,0.047,0.,0.,0.,0.,0.,0.,0.083,0.003,0.001,0.085,0.003,0.,0.051,0.,0.051,0.,0.,0.
5,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.084,0.,0.005,0.085,0.,0.004,0.01,0.,0.01,0.,0.,0.
6,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.087,0.003,0.001,0.083,0.003,0.001,0.018,0.,0.018,0.,0.,0.
7,0.027,0.,0.027,0.,0.,0.,0.,0.,0.,0.084,0.004,0.,0.086,0.,0.004,0.026,0.,0.026,0.,0.,0.
8,0.05,0.,0.05,0.,0.,0.,0.,0.,0.,0.089,0.003,0.001,0.084,0.,0.004,0.05,0.,0.05,0.,0.,0.
9,0.051,0.,0.051,0.,0.,0.,0.,0.,0.,0.084,0.003,0.,0.082,0.004,0.,0.047,0.,0.047,0.,0.,0.
10,0.062,0.,0.062,0.,0.,0.,0.043,0.007,0.036,0.079,0.004,0.,0.082,0.003,0.,0.079,0.,0.079,0.,0.,0.
11,0.133,0.004,0.129,0.,0.,0.,,,,,,,,,,0.138,0.,0.138,,,
12,0.159,0.007,0.151,,,,0.,0.,0.,,,,,,,0.096,0.,0.096,,,
13,0.142,0.,0.142,,,,,,,,,,,,,0.131,0.,0.131,,,
14,0.173,0.,0.173,,,,,,,,,,,,,0.206,0.,0.206,,,
15,0.212,0.,0.212,,,,,,,,,,,,,0.298,0.,0.298,,,
16,0.308,0.,0.308,,,,,,,,,,,,,0.238,0.,0.238,,,
17,,,,,,,,,,,,,,,,0.247,0.,0.247,,,
18,0.39,0.,0.39,,,,0.,0.,0.,,,,,,,0.426,0.,0.426,,,
19,0.341,0.,0.341,0.,0.,0.,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,0.508,0.,0.508,,,
22,0.648,0.,0.648,,,,,,,,,,,,,0.529,0.,0.529,,,
23,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,0.744,0.,0.744,,,
25,0.804,0.,0.804,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,0.74,0.,0.74,,,
28,0.903,0.,0.903,0.001,0.,0.001,0.042,0.008,0.034,,,,,,,0.846,0.003,0.842,,,
30,1.054,0.,1.054,,,,,,,,,,,,,1.049,0.,1.049,,,
32,,,,,,,,,,,,,,,,1.222,0.,1.222,,,
33,1.244,0.,1.244,,,,0.001,0.,0.001,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,1.421,0.,1.421,,,
36,1.58,0.,1.58,0.04,0.003,0.036,,,,,,,,,,,,,,,
39,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,2.288,0.,2.287,0.,0.,0.
43,2.548,0.,2.547,,,,,,,,,,,,,,,,,,
44,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
45,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,3.371,0.003,3.367,,,
49,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
50,3.662,0.,3.662,,,,,,,,,,,,,,,,,,
53,,,,0.003,0.,0.002,,,,,,,,,,,,,,,
54,,,,,,,0.003,0.,0.003,,,,,,,4.776,0.016,4.76,,,
56,5.023,0.004,5.018,,,,,,,,,,,,,,,,,,
59,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,6.425,0.007,6.417,,,
62,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
63,7.256,0.,7.255,,,,,,,,,,,,,,,,,,
65,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,9.224,0.032,9.187,,,
70,9.038,0.,9.037,,,,0.005,0.,0.005,,,,,,,,,,,,
71,,,,0.004,0.,0.004,,,,,,,,,,,,,,,
75,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
79,,,,0.004,0.,0.004,,,,,,,,,,,,,,,
80,,,,,,,0.006,0.,0.006,,,,,,,,,,0.,0.,0.
86,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
88,,,,0.005,0.,0.005,,,,,,,,,,,,,,,
91,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
96,,,,0.006,0.,0.006,0.009,0.,0.009,,,,,,,,,,,,
101,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
105,,,,0.008,0.,0.008,,,,,,,,,,,,,,,
106,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
112,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
113,,,,0.025,0.,0.025,,,,,,,,,,,,,,,
116,,,,,,,,,,0.088,0.004,0.001,0.083,0.004,0.,,,,,,
117,,,,,,,0.011,0.,0.011,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,0.,0.,0.
122,,,,0.009,0.,0.009,0.011,0.,0.011,,,,,,,,,,,,
127,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
130,,,,0.01,0.,0.01,,,,,,,,,,,,,,,
133,,,,,,,0.014,0.,0.014,,,,,,,,,,,,
138,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
139,,,,0.011,0.,0.011,,,,,,,,,,,,,,,
143,,,,,,,0.017,0.,0.017,,,,,,,,,,,,
148,,,,0.013,0.,0.013,0.017,0.,0.017,,,,,,,,,,,,
153,,,,,,,0.02,0.003,0.017,,,,,,,,,,,,
156,,,,0.015,0.,0.015,,,,,,,,,,,,,,,
159,,,,,,,0.019,0.,0.019,,,,,,,,,,0.039,0.,0.039
164,,,,,,,0.128,0.,0.128,,,,,,,,,,,,
165,,,,0.015,0.,0.015,,,,,,,,,,,,,,,
169,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
173,,,,0.035,0.,0.035,,,,,,,,,,,,,,,
174,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
180,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
182,,,,0.017,0.,0.017,,,,,,,,,,,,,,,
185,,,,,,,0.054,0.,0.054,,,,,,,,,,,,
190,,,,0.019,0.,0.019,0.028,0.,0.028,,,,,,,,,,,,
195,,,,,,,0.03,0.003,0.027,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,0.001,0.,0.001
199,,,,0.021,0.,0.021,,,,,,,,,,,,,,,
200,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
206,,,,,,,0.031,0.,0.031,,,,,,,,,,,,
208,,,,0.022,0.,0.022,,,,,,,,,,,,,,,
211,,,,,,,0.034,0.,0.034,,,,,,,,,,,,
