param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.
1,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001
2,0.003,0.,0.003,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002
10,0.017,0.,0.017,0.005,0.,0.004,0.006,0.,0.006,0.006,0.,0.006,0.019,0.,0.019,0.012,0.,0.012
20,0.048,0.,0.048,0.012,0.,0.012,0.017,0.,0.017,0.017,0.,0.017,0.054,0.,0.053,0.035,0.,0.035
30,0.104,0.,0.104,0.025,0.,0.025,0.053,0.,0.053,0.038,0.,0.038,0.117,0.,0.117,0.078,0.,0.078
40,0.182,0.,0.182,0.045,0.,0.045,0.073,0.,0.073,0.07,0.,0.07,0.212,0.,0.212,0.137,0.,0.137
50,0.26,0.006,0.253,0.071,0.,0.071,0.125,0.,0.125,0.116,0.,0.116,0.31,0.,0.31,0.187,0.006,0.18
60,0.514,0.003,0.51,0.1,0.,0.1,0.2,0.,0.2,0.213,0.,0.213,0.614,0.003,0.61,0.413,0.003,0.41
70,0.633,0.,0.633,0.153,0.,0.153,0.33,0.,0.33,0.311,0.,0.311,0.893,0.,0.893,0.479,0.,0.479
80,1.055,0.003,1.051,0.283,0.,0.283,0.441,0.,0.441,0.541,0.,0.541,1.186,0.003,1.182,0.771,0.003,0.767
90,1.109,0.003,1.105,0.223,0.,0.223,0.63,0.,0.629,0.703,0.,0.703,1.463,0.003,1.459,0.885,0.003,0.881
100,1.471,0.007,1.463,0.352,0.003,0.349,0.906,0.,0.906,0.866,0.,0.866,2.01,0.,2.01,1.117,0.003,1.113
110,1.731,0.,1.731,0.306,0.,0.306,1.13,0.,1.129,1.221,0.,1.22,2.634,0.,2.633,1.424,0.,1.424
120,2.162,0.,2.159,0.358,0.,0.355,1.46,0.003,1.455,1.37,0.,1.369,3.288,0.007,3.277,1.803,0.,1.803
130,2.679,0.011,2.667,0.4,0.,0.4,1.731,0.,1.731,1.724,0.,1.724,3.95,0.007,3.942,2.278,0.011,2.266
140,3.11,0.003,3.105,0.437,0.,0.437,2.129,0.,2.129,2.177,0.,2.177,4.722,0.,4.722,2.672,0.003,2.668
150,3.522,0.,3.521,0.487,0.,0.486,2.515,0.,2.515,2.709,0.,2.709,5.328,0.007,5.319,3.034,0.,3.034
160,4.442,0.007,4.433,0.637,0.,0.637,3.349,0.,3.349,3.193,0.,3.193,6.996,0.008,6.987,3.803,0.007,3.795
170,5.373,0.,5.373,0.699,0.,0.699,4.083,0.003,4.078,3.766,0.,3.766,8.606,0.024,8.581,4.673,0.,4.672
180,6.314,0.019,6.294,0.726,0.,0.726,4.547,0.,4.547,4.553,0.003,4.548,9.667,0.011,9.654,5.587,0.019,5.566
190,6.965,0.,6.964,0.844,0.,0.844,5.561,0.003,5.556,5.307,0.,5.307,11.541,0.008,11.529,6.119,0.,6.119
200,7.28,0.003,7.276,0.83,0.,0.83,5.645,0.,5.644,5.629,0.003,5.624,12.238,0.008,12.225,6.448,0.003,6.444
210,9.281,0.003,9.276,0.958,0.,0.958,7.154,0.,7.153,7.227,0.,7.227,15.428,0.003,15.422,8.322,0.003,8.317
220,9.994,0.,9.994,1.027,0.,1.027,8.677,0.,8.677,8.18,0.,8.179,17.773,0.003,17.767,8.966,0.,8.965
230,11.58,0.007,11.571,1.149,0.,1.149,9.715,0.004,9.709,9.402,0.003,9.397,20.448,0.012,20.432,10.429,0.007,10.42
240,13.083,0.016,13.066,1.28,0.,1.28,11.61,0.015,11.589,11.017,0.003,11.011,23.314,0.015,23.295,11.802,0.016,11.785
250,14.979,0.,14.978,1.383,0.,1.383,12.438,0.,12.436,12.769,0.003,12.764,26.399,0.012,26.384,13.595,0.,13.594
300,24.799,0.,24.796,1.977,0.,1.977,23.,0.003,22.993,22.199,0.008,22.189,45.563,0.007,45.547,22.82,0.,22.817
400,58.526,0.02,58.502,3.45,0.,3.449,57.74,0.028,57.703,54.227,0.044,54.179,110.698,0.016,110.666,55.075,0.02,55.05
