param-n,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
92,0.016,0.,0.016,0.016,0.,0.016,0.001,0.,0.001
93,0.016,0.,0.016,0.016,0.,0.016,0.001,0.,0.001
94,0.016,0.,0.016,0.016,0.,0.016,0.001,0.,0.001
95,0.018,0.,0.018,0.018,0.,0.018,0.001,0.,0.001
96,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
97,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
98,0.018,0.,0.018,0.018,0.,0.018,0.001,0.,0.001
99,0.018,0.,0.018,0.018,0.,0.018,0.001,0.,0.001
100,0.018,0.,0.018,0.018,0.,0.018,0.001,0.,0.001
110,0.02,0.,0.02,0.02,0.,0.02,0.001,0.,0.001
120,0.039,0.,0.039,0.039,0.,0.039,0.017,0.,0.017
130,0.136,0.,0.135,0.135,0.,0.135,0.001,0.,0.001
140,0.222,0.,0.222,0.222,0.,0.222,0.001,0.,0.001
150,0.456,0.003,0.453,0.456,0.003,0.453,0.001,0.,0.001
160,0.046,0.,0.045,0.046,0.,0.045,0.001,0.,0.001
170,0.061,0.002,0.058,0.061,0.002,0.058,0.001,0.,0.001
180,0.065,0.,0.065,0.065,0.,0.065,0.002,0.,0.002
190,0.074,0.,0.074,0.074,0.,0.074,0.002,0.,0.002
200,0.065,0.003,0.061,0.065,0.003,0.061,0.002,0.,0.002
210,0.083,0.003,0.079,0.083,0.003,0.079,0.002,0.,0.002
220,0.091,0.,0.091,0.091,0.,0.091,0.002,0.,0.002
230,0.094,0.,0.094,0.094,0.,0.094,0.003,0.,0.003
240,0.096,0.,0.096,0.096,0.,0.096,0.002,0.,0.002
250,0.095,0.,0.095,0.095,0.,0.095,0.002,0.,0.002
260,0.094,0.,0.094,0.094,0.,0.094,0.002,0.,0.002
270,0.103,0.003,0.099,0.103,0.003,0.099,0.003,0.,0.003
280,0.114,0.,0.114,0.114,0.,0.114,0.003,0.,0.003
290,0.121,0.007,0.113,0.121,0.007,0.113,0.003,0.,0.003
300,0.139,0.003,0.135,0.139,0.003,0.135,0.003,0.,0.003
310,0.149,0.004,0.145,0.149,0.004,0.145,0.003,0.,0.003
320,0.16,0.003,0.156,0.16,0.003,0.156,0.003,0.,0.003
330,0.166,0.004,0.162,0.166,0.004,0.162,0.003,0.,0.003
340,0.16,0.,0.16,0.16,0.,0.16,0.004,0.,0.004
350,0.191,0.003,0.187,0.191,0.003,0.187,0.004,0.,0.004
360,0.164,0.007,0.156,0.164,0.007,0.156,0.004,0.,0.004
370,0.172,0.,0.172,0.172,0.,0.172,0.004,0.,0.004
380,0.175,0.,0.175,0.175,0.,0.175,0.004,0.,0.004
390,0.228,0.,0.228,0.228,0.,0.228,0.004,0.,0.004
400,0.223,0.007,0.215,0.223,0.007,0.215,0.004,0.,0.004
410,0.26,0.,0.26,0.26,0.,0.26,0.005,0.,0.005
420,0.223,0.,0.223,0.223,0.,0.223,0.005,0.,0.005
430,0.225,0.003,0.221,0.225,0.003,0.221,0.005,0.,0.005
440,0.226,0.,0.226,0.226,0.,0.226,0.005,0.,0.005
450,0.273,0.,0.273,0.273,0.,0.273,0.005,0.,0.005
460,0.299,0.,0.299,0.299,0.,0.299,0.006,0.,0.006
470,0.25,0.,0.25,0.25,0.,0.25,0.006,0.,0.006
480,0.272,0.,0.272,0.272,0.,0.272,0.005,0.,0.005
490,0.271,0.,0.271,0.271,0.,0.271,0.006,0.,0.006
500,0.352,0.,0.352,0.352,0.,0.352,0.006,0.,0.006
510,0.313,0.004,0.309,0.313,0.004,0.309,0.006,0.,0.006
520,0.309,0.008,0.301,0.309,0.008,0.301,0.006,0.,0.006
530,0.319,0.,0.319,0.319,0.,0.319,0.006,0.,0.006
540,0.375,0.,0.375,0.375,0.,0.375,0.006,0.,0.006
550,0.337,0.,0.337,0.337,0.,0.337,0.007,0.,0.007
560,0.332,0.,0.332,0.332,0.,0.332,0.006,0.,0.006
570,0.382,0.,0.382,0.382,0.,0.382,0.006,0.,0.006
580,0.424,0.,0.424,0.424,0.,0.423,0.007,0.,0.007
590,0.375,0.001,0.374,0.375,0.001,0.374,0.007,0.,0.007
600,0.398,0.,0.398,0.398,0.,0.398,0.007,0.,0.007
610,0.466,0.,0.466,0.466,0.,0.466,0.008,0.,0.008
620,0.401,0.,0.401,0.401,0.,0.401,0.008,0.,0.008
630,0.42,0.,0.419,0.419,0.,0.419,0.007,0.,0.007
640,0.514,0.,0.514,0.514,0.,0.514,0.008,0.,0.008
650,0.483,0.,0.483,0.483,0.,0.483,0.007,0.,0.007
660,0.461,0.,0.461,0.461,0.,0.461,0.008,0.,0.008
670,0.529,0.,0.529,0.529,0.,0.529,0.009,0.,0.009
680,0.447,0.,0.447,0.447,0.,0.447,0.008,0.,0.008
690,0.521,0.,0.521,0.521,0.,0.521,0.009,0.,0.009
700,0.526,0.003,0.522,0.526,0.003,0.522,0.009,0.,0.009
710,0.505,0.011,0.493,0.505,0.011,0.493,0.008,0.,0.008
720,0.761,0.,0.761,0.761,0.,0.761,0.009,0.,0.009
730,0.502,0.,0.502,0.502,0.,0.502,0.009,0.,0.009
740,0.613,0.,0.613,0.613,0.,0.613,0.009,0.,0.009
750,0.538,0.,0.538,0.538,0.,0.538,0.008,0.,0.008
760,0.638,0.,0.638,0.638,0.,0.638,0.008,0.,0.008
770,0.528,0.,0.528,0.528,0.,0.528,0.008,0.,0.008
780,0.65,0.,0.65,0.65,0.,0.65,0.01,0.,0.01
790,0.624,0.,0.623,0.624,0.,0.623,0.01,0.,0.01
800,0.662,0.,0.662,0.662,0.,0.662,0.01,0.,0.01
810,0.62,0.,0.62,0.62,0.,0.62,0.009,0.,0.009
820,0.704,0.,0.704,0.704,0.,0.704,0.011,0.,0.011
830,0.658,0.,0.658,0.658,0.,0.658,0.01,0.,0.01
840,0.715,0.,0.714,0.715,0.,0.714,0.01,0.,0.01
850,0.672,0.,0.672,0.672,0.,0.672,0.011,0.,0.011
860,0.763,0.,0.763,0.763,0.,0.763,0.011,0.,0.011
870,0.713,0.,0.713,0.713,0.,0.713,0.011,0.,0.011
880,0.814,0.,0.814,0.814,0.,0.814,0.011,0.,0.011
890,0.72,0.,0.72,0.72,0.,0.72,0.011,0.,0.011
900,0.827,0.,0.827,0.827,0.,0.827,0.011,0.,0.011
910,0.809,0.,0.809,0.809,0.,0.809,0.012,0.,0.012
920,0.787,0.,0.787,0.787,0.,0.787,0.011,0.,0.011
930,0.879,0.,0.879,0.879,0.,0.879,0.012,0.,0.012
940,0.799,0.,0.799,0.799,0.,0.799,0.013,0.,0.013
950,0.886,0.003,0.882,0.886,0.003,0.882,0.012,0.,0.012
960,0.877,0.,0.877,0.877,0.,0.877,0.013,0.,0.013
970,0.832,0.,0.832,0.832,0.,0.832,0.011,0.,0.011
980,0.923,0.,0.923,0.923,0.,0.923,0.012,0.,0.012
990,0.938,0.,0.938,0.938,0.,0.938,0.012,0.,0.012
1000,0.911,0.,0.911,0.911,0.,0.911,0.013,0.,0.013
1100,1.13,0.,1.13,1.13,0.,1.13,0.014,0.,0.014
1200,1.297,0.,1.297,1.297,0.,1.297,0.015,0.,0.015
1300,1.522,0.,1.522,1.522,0.,1.522,0.017,0.,0.017
1400,1.723,0.,1.723,1.723,0.,1.723,0.018,0.,0.018
1500,1.994,0.,1.994,1.994,0.,1.993,0.02,0.,0.02
1600,2.175,0.015,2.159,2.175,0.015,2.158,0.023,0.,0.023
1700,2.424,0.,2.424,2.424,0.,2.424,0.023,0.,0.023
1800,2.622,0.,2.622,2.622,0.,2.622,0.024,0.,0.024
1900,3.261,0.,3.261,3.261,0.,3.261,0.029,0.,0.029
2000,3.572,0.003,3.568,3.572,0.003,3.568,0.028,0.,0.028
3000,7.341,0.064,7.277,7.341,0.064,7.276,0.046,0.,0.046
4000,12.606,0.104,12.501,12.606,0.104,12.501,0.058,0.,0.058
5000,19.202,0.172,19.028,19.202,0.172,19.028,0.073,0.,0.073
