param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
86,0.064,0.003,0.061,0.027,0.,0.027,0.036,0.003,0.032,0.,0.,0.
87,0.064,0.,0.064,0.03,0.,0.03,0.033,0.,0.033,0.,0.,0.
88,0.066,0.,0.066,0.029,0.,0.029,0.035,0.,0.035,0.,0.,0.
89,0.067,0.,0.067,0.03,0.,0.03,0.035,0.,0.035,0.,0.,0.
90,0.069,0.,0.069,0.031,0.,0.031,0.036,0.,0.036,0.,0.,0.
91,0.068,0.,0.068,0.029,0.,0.029,0.037,0.,0.037,0.,0.,0.
92,0.075,0.,0.075,0.036,0.,0.036,0.038,0.,0.038,0.,0.,0.
93,0.079,0.,0.079,0.034,0.,0.034,0.044,0.,0.044,0.,0.,0.
94,0.079,0.,0.079,0.034,0.,0.034,0.043,0.,0.043,0.,0.,0.
95,0.081,0.,0.081,0.035,0.,0.035,0.044,0.,0.044,0.,0.,0.
96,0.082,0.,0.082,0.035,0.,0.035,0.046,0.,0.046,0.,0.,0.
97,0.093,0.007,0.086,0.04,0.,0.04,0.051,0.006,0.045,0.,0.,0.
98,0.084,0.004,0.08,0.038,0.,0.038,0.044,0.003,0.041,0.,0.,0.
99,0.084,0.,0.084,0.039,0.,0.039,0.044,0.,0.044,0.,0.,0.
100,0.132,0.,0.132,0.053,0.,0.053,0.079,0.,0.079,0.,0.,0.
110,0.109,0.,0.109,0.052,0.,0.052,0.056,0.,0.056,0.,0.,0.
120,0.127,0.003,0.123,0.06,0.,0.059,0.066,0.003,0.062,0.,0.,0.
130,0.154,0.003,0.15,0.071,0.003,0.067,0.082,0.,0.082,0.,0.,0.
140,0.184,0.,0.184,0.087,0.,0.087,0.095,0.,0.095,0.,0.,0.
150,0.189,0.,0.189,0.091,0.,0.091,0.097,0.,0.097,0.,0.,0.
160,0.215,0.003,0.211,0.094,0.,0.093,0.12,0.003,0.116,0.,0.,0.
170,0.242,0.,0.242,0.111,0.,0.111,0.13,0.,0.13,0.,0.,0.
180,0.279,0.003,0.275,0.121,0.,0.121,0.156,0.003,0.152,0.,0.,0.
190,0.31,0.,0.31,0.146,0.,0.145,0.163,0.,0.163,0.,0.,0.
200,0.415,0.,0.415,0.15,0.,0.15,0.264,0.,0.264,0.,0.,0.
210,0.403,0.,0.402,0.19,0.,0.19,0.211,0.,0.21,0.,0.,0.
220,0.43,0.003,0.426,0.195,0.,0.195,0.232,0.003,0.228,0.,0.,0.
230,0.434,0.003,0.431,0.199,0.003,0.195,0.234,0.,0.234,0.,0.,0.
240,0.489,0.,0.489,0.214,0.,0.214,0.273,0.,0.273,0.,0.,0.
250,0.62,0.,0.62,0.269,0.,0.269,0.35,0.,0.35,0.,0.,0.
260,0.598,0.,0.598,0.282,0.,0.282,0.315,0.,0.315,0.,0.,0.
