param-n,abstract+autorewrite-regression-quadratic-real,abstract+autorewrite-regression-quadratic-sys,abstract+autorewrite-regression-quadratic-user,abstract+rewrite!-regression-quadratic-real,abstract+rewrite!-regression-quadratic-sys,abstract+rewrite!-regression-quadratic-user,autorewrite-noop-regression-linear-real,autorewrite-noop-regression-linear-sys,autorewrite-noop-regression-linear-user,autorewrite-regression-quadratic-real,autorewrite-regression-quadratic-sys,autorewrite-regression-quadratic-user,close-abstract+autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-sys,close-abstract+autorewrite-regression-quadratic-user,close-abstract+rewrite!-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-sys,close-abstract+rewrite!-regression-quadratic-user,rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-sys,rewrite!-regression-quadratic-user,rewrite?-noop-regression-linear-real,rewrite?-noop-regression-linear-sys,rewrite?-noop-regression-linear-user
36,0.028,0.,0.028,0.026,0.002,0.023,0.002,0.,0.002,0.02,0.,0.02,0.005,0.,0.005,0.006,0.,0.005,0.019,0.002,0.016,0.,0.,0.
37,0.027,0.,0.027,0.029,0.,0.029,0.,0.,0.,0.02,0.,0.02,0.006,0.,0.006,0.006,0.,0.006,0.021,0.,0.021,0.,0.,0.
38,0.03,0.,0.03,0.028,0.,0.028,0.,0.,0.,0.022,0.,0.022,0.007,0.,0.007,0.006,0.,0.006,0.02,0.,0.02,0.,0.,0.
39,0.03,0.,0.03,0.032,0.,0.032,0.,0.,0.,0.022,0.,0.022,0.007,0.,0.007,0.008,0.,0.008,0.022,0.,0.022,0.,0.,0.
40,0.087,0.,0.087,0.032,0.,0.032,0.,0.,0.,0.078,0.,0.078,0.007,0.,0.007,0.007,0.,0.007,0.023,0.,0.023,0.,0.,0.
41,0.032,0.,0.032,0.09,0.,0.09,0.,0.,0.,0.024,0.,0.024,0.007,0.,0.007,0.008,0.,0.008,0.08,0.,0.08,0.,0.,0.
42,0.034,0.,0.034,0.039,0.,0.039,0.,0.,0.,0.025,0.,0.025,0.007,0.,0.007,0.013,0.,0.013,0.024,0.,0.024,0.,0.,0.
43,0.061,0.,0.061,0.038,0.,0.038,0.,0.,0.,0.024,0.,0.024,0.036,0.,0.036,0.008,0.,0.008,0.028,0.,0.028,0.,0.,0.
44,0.035,0.,0.035,0.066,0.,0.066,0.,0.,0.,0.025,0.,0.025,0.009,0.,0.009,0.009,0.,0.009,0.055,0.,0.055,0.,0.,0.
45,0.038,0.,0.038,0.049,0.,0.049,0.,0.,0.,0.028,0.,0.028,0.008,0.,0.008,0.01,0.,0.01,0.037,0.,0.037,0.,0.,0.
