param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
190,0.991,0.003,0.987,0.568,0.011,0.556,0.217,0.,0.217,0.137,0.007,0.129,0.768,0.003,0.764,0.003,0.,0.003,0.425,0.003,0.421,0.004,0.,0.004
200,1.13,0.007,1.122,0.731,0.007,0.722,0.226,0.003,0.222,0.148,0.,0.148,0.899,0.003,0.895,0.004,0.,0.004,0.577,0.007,0.569,0.004,0.,0.004
210,1.202,0.,1.202,0.711,0.,0.711,0.228,0.,0.228,0.169,0.,0.169,0.968,0.,0.968,0.004,0.,0.004,0.535,0.,0.535,0.004,0.,0.004
220,1.322,0.,1.322,0.805,0.007,0.797,0.258,0.,0.258,0.192,0.004,0.188,1.058,0.,1.058,0.005,0.,0.005,0.607,0.003,0.603,0.004,0.,0.004
230,1.423,0.,1.423,0.915,0.011,0.903,0.273,0.,0.273,0.21,0.,0.21,1.142,0.,1.142,0.005,0.,0.005,0.684,0.007,0.676,0.019,0.003,0.015
240,1.562,0.,1.562,0.918,0.,0.918,0.298,0.,0.298,0.225,0.,0.225,1.257,0.,1.257,0.005,0.,0.005,0.686,0.,0.685,0.005,0.,0.005
250,1.759,0.007,1.75,1.029,0.003,1.025,0.343,0.003,0.339,0.241,0.,0.241,1.41,0.003,1.405,0.005,0.,0.005,0.78,0.003,0.776,0.005,0.,0.005
260,1.896,0.,1.896,1.12,0.,1.12,0.356,0.,0.356,0.258,0.,0.258,1.532,0.,1.532,0.005,0.,0.005,0.853,0.,0.853,0.006,0.,0.006
270,1.969,0.007,1.96,1.377,0.,1.376,0.351,0.003,0.347,0.289,0.,0.289,1.61,0.003,1.606,0.005,0.,0.005,1.079,0.,1.078,0.007,0.,0.007
280,2.162,0.003,2.158,1.324,0.,1.324,0.407,0.,0.407,0.272,0.,0.272,1.743,0.003,1.739,0.009,0.,0.009,1.042,0.,1.042,0.007,0.,0.007
290,2.581,0.,2.581,1.393,0.,1.393,0.411,0.,0.411,0.313,0.,0.312,2.16,0.,2.16,0.006,0.,0.006,1.071,0.,1.071,0.007,0.,0.007
300,2.578,0.016,2.562,1.5,0.011,1.488,0.475,0.003,0.471,0.345,0.,0.345,2.094,0.012,2.082,0.007,0.,0.007,1.146,0.011,1.134,0.007,0.,0.007
310,2.615,0.,2.615,1.704,0.003,1.7,0.495,0.,0.495,0.357,0.,0.357,2.108,0.,2.108,0.01,0.,0.01,1.336,0.003,1.332,0.009,0.,0.009
320,3.023,0.008,3.015,1.704,0.003,1.7,0.528,0.,0.528,0.371,0.,0.371,2.481,0.008,2.473,0.011,0.,0.011,1.322,0.003,1.317,0.009,0.,0.009
330,3.166,0.,3.166,1.891,0.,1.891,0.57,0.,0.57,0.415,0.,0.415,2.585,0.,2.584,0.008,0.,0.008,1.464,0.,1.464,0.009,0.,0.009
340,3.348,0.031,3.316,1.998,0.,1.998,0.605,0.007,0.597,0.455,0.,0.455,2.731,0.023,2.707,0.009,0.,0.009,1.531,0.,1.53,0.01,0.,0.01
350,3.543,0.016,3.526,2.119,0.019,2.099,0.658,0.003,0.654,0.451,0.003,0.447,2.873,0.012,2.861,0.01,0.,0.01,1.651,0.015,1.635,0.015,0.,0.015
360,4.047,0.,4.046,2.414,0.,2.414,0.665,0.,0.665,0.498,0.,0.498,3.369,0.,3.369,0.01,0.,0.01,1.903,0.,1.902,0.011,0.,0.011
370,3.997,0.,3.996,2.408,0.,2.407,0.696,0.,0.696,0.49,0.,0.49,3.288,0.,3.288,0.01,0.,0.01,1.904,0.,1.904,0.011,0.,0.011
380,4.25,0.007,4.242,2.406,0.,2.406,0.729,0.,0.729,0.517,0.,0.517,3.508,0.007,3.5,0.01,0.,0.01,1.875,0.,1.874,0.011,0.,0.011
390,4.72,0.015,4.703,2.737,0.015,2.721,0.784,0.,0.784,0.558,0.004,0.554,3.921,0.015,3.905,0.011,0.,0.011,2.164,0.011,2.152,0.012,0.,0.012
400,4.84,0.059,4.78,2.932,0.028,2.9,0.818,0.007,0.81,0.597,0.,0.597,4.01,0.052,3.957,0.011,0.,0.011,2.32,0.027,2.288,0.013,0.,0.013
