param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
696,,,,0.195,0.,0.195,,,,,,,,,,,,,,,,,,,,,,,
703,,,,,,,0.344,0.,0.344,,,,,,,,,,,,,,,,,,,,
704,,,,0.196,0.,0.195,,,,,,,,,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.,0.01
713,,,,0.201,0.,0.201,,,,,,,,,,,,,,,,,,,,,,,
721,,,,,,,0.34,0.,0.34,,,,,,,,,,,,,,,,,,,,
739,,,,,,,0.359,0.,0.359,,,,,,,,,,,,,,,,,,,,
744,,,,0.218,0.,0.218,,,,,,,,,,,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.,0.011
757,,,,,,,0.401,0.,0.401,,,,,,,,,,,,,,,,,,,,
775,,,,0.239,0.,0.239,0.457,0.,0.457,,,,,,,,,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.,0.013
793,,,,,,,0.457,0.003,0.453,,,,,,,,,,,,,,,,,,,,
797,,,,,,,,,,0.07082,0.00019,0.00381,0.00126,0.076,0.002,0.006,0.06884,0.00022,0.00376,0.00120,0.074,0.,0.006,,,,,,
806,,,,0.264,0.,0.264,,,,,,,,,,,,,,,,,,,,,,,
811,,,,,,,0.487,0.004,0.483,,,,,,,,,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.,0.013
829,,,,,,,0.687,0.,0.687,,,,,,,,,,,,,,,,,,,,
837,,,,0.272,0.,0.272,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,0.518,0.,0.518,,,,,,,,,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.,0.014
865,,,,,,,0.513,0.,0.513,,,,,,,,,,,,,,,,,,,,
868,,,,0.296,0.,0.296,,,,,,,,,,,,,,,,,,,,,,,
873,,,,,,,0.662,0.043,0.618,,,,,,,,,,,,,,,,,,,,
883,,,,,,,0.508,0.,0.508,,,,,,,,,,,,,,,,,,,,
898,,,,0.305,0.,0.305,,,,,,,,,,,,,,,,,,,,,,,
901,,,,,,,0.562,0.,0.562,,,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
911,,,,,,,,,,0.07602,0.00019,0.00608,0.00161,0.084,0.003,0.008,0.07847,0.00021,0.00458,0.00138,0.084,0.,0.008,,,,,,
914,,,,0.494,0.,0.494,,,,,,,,,,,,,,,,,,,,,,,
929,,,,0.329,0.,0.329,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.,0.017
960,,,,0.345,0.,0.345,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.,0.018
991,,,,0.36,0.,0.36,0.74,0.,0.74,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.,0.02
1022,,,,0.393,0.,0.393,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.06722,0.00019,0.00590,0.00158,0.075,0.003,0.006,0.06684,0.00021,0.00545,0.00155,0.074,0.003,0.006,,,,,,
1053,,,,0.408,0.,0.408,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.,0.02
1081,,,,,,,1.082,0.,1.082,,,,,,,,,,,,,,,,,,,,
1084,,,,0.451,0.,0.451,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
1115,,,,0.463,0.003,0.459,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.06945,0.00020,0.00654,0.00168,0.078,0.003,0.007,0.06973,0.00021,0.00670,0.00170,0.078,0.003,0.007,,,,0.024,0.,0.024
1146,,,,0.488,0.,0.488,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,1.157,0.004,1.153,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,1.001,0.,1.001,,,,,,,,,,,,,,,,,,,,
