param-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,ssr-rewrite!-regression-quadratic-real,ssr-rewrite!-regression-quadratic-sys,ssr-rewrite!-regression-quadratic-user,ssr-rewrite?-noop-regression-linear-real,ssr-rewrite?-noop-regression-linear-sys,ssr-rewrite?-noop-regression-linear-user
300,1.641,0.011,1.629,0.659,0.,0.659,0.98,0.011,0.968,0.,0.,0.
310,1.74,0.007,1.732,0.713,0.007,0.705,1.025,0.,1.025,0.,0.,0.
320,1.906,0.,1.906,0.783,0.,0.783,1.12,0.,1.12,0.,0.,0.
330,2.013,0.,2.013,0.807,0.,0.806,1.203,0.,1.203,0.,0.,0.
340,2.126,0.003,2.12,0.848,0.,0.847,1.276,0.003,1.27,0.,0.,0.
350,2.282,0.023,2.258,0.929,0.011,0.916,1.352,0.011,1.34,0.,0.,0.
360,2.373,0.012,2.36,0.966,0.011,0.954,1.405,0.,1.404,0.,0.,0.
370,2.741,0.,2.741,1.028,0.,1.028,1.71,0.,1.71,0.,0.,0.
380,2.601,0.,2.601,1.029,0.,1.028,1.57,0.,1.57,0.,0.,0.
390,2.721,0.003,2.717,1.102,0.003,1.098,1.616,0.,1.616,0.,0.,0.
400,2.958,0.028,2.93,1.205,0.015,1.189,1.751,0.012,1.738,0.,0.,0.
