param-n,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
980,0.64,0.,0.64,0.64,0.,0.64,0.012,0.,0.012
990,0.644,0.,0.644,0.644,0.,0.644,0.012,0.,0.012
1000,0.643,0.007,0.635,0.643,0.007,0.635,0.012,0.,0.012
1100,0.746,0.003,0.742,0.746,0.003,0.742,0.014,0.,0.014
1200,0.901,0.,0.901,0.901,0.,0.901,0.014,0.,0.014
1300,0.996,0.,0.996,0.996,0.,0.996,0.017,0.,0.017
1400,1.181,0.,1.181,1.181,0.,1.181,0.018,0.,0.018
1500,1.428,0.,1.428,1.428,0.,1.428,0.026,0.,0.026
1600,1.584,0.,1.584,1.584,0.,1.584,0.024,0.,0.024
1700,1.722,0.,1.722,1.722,0.,1.722,0.022,0.,0.022
1800,1.873,0.,1.873,1.873,0.,1.872,0.024,0.,0.024
1900,2.047,0.,2.047,2.047,0.,2.047,0.029,0.,0.029
2000,2.392,0.,2.392,2.392,0.,2.392,0.026,0.,0.026
3000,5.211,0.,5.21,5.211,0.,5.21,0.046,0.,0.046
4000,8.911,0.003,8.907,8.911,0.003,8.907,0.056,0.,0.056
5000,14.5,0.007,14.488,14.5,0.007,14.488,0.074,0.,0.074
