param-n,case-and-regression-linear-real,case-and-regression-linear-sys,case-and-regression-linear-user,case-clear-intros-and-regression-linear-real,case-clear-intros-and-regression-linear-sys,case-clear-intros-and-regression-linear-user,case-clear-intros-or-regression-linear-real,case-clear-intros-or-regression-linear-sys,case-clear-intros-or-regression-linear-user,case-or-regression-linear-real,case-or-regression-linear-sys,case-or-regression-linear-user,destruct-and-regression-linear-real,destruct-and-regression-linear-sys,destruct-and-regression-linear-user,destruct-or-regression-linear-real,destruct-or-regression-linear-sys,destruct-or-regression-linear-user,intros-regression-linear-real,intros-regression-linear-sys,intros-regression-linear-user,lazy-regression-linear-real,lazy-regression-linear-sys,lazy-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.001,0.004,0.001,0.,0.001,0.006,0.001,0.004
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.009,0.,0.009,0.009,0.,0.009,0.002,0.,0.002,0.052,0.004,0.048
3,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.003,0.004,0.,0.003,0.017,0.,0.017,0.02,0.,0.02,0.012,0.,0.012,0.014,0.,0.014
4,0.002,0.,0.002,0.003,0.,0.003,0.002,0.,0.002,0.002,0.,0.002,0.018,0.,0.018,0.018,0.,0.018,0.008,0.,0.008,0.068,0.004,0.063
5,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.023,0.,0.023,0.024,0.,0.024,0.012,0.,0.012,0.044,0.,0.044
6,0.011,0.,0.011,0.011,0.,0.011,0.011,0.,0.011,0.011,0.,0.011,0.046,0.,0.046,0.042,0.,0.042,0.048,0.,0.048,0.049,0.,0.049
7,0.012,0.,0.012,0.012,0.,0.012,0.011,0.,0.011,0.011,0.,0.011,0.066,0.,0.066,0.047,0.,0.047,0.045,0.,0.045,0.043,0.,0.043
8,0.01,0.,0.01,0.01,0.,0.01,0.011,0.,0.011,0.011,0.,0.011,0.048,0.,0.048,0.049,0.,0.049,0.041,0.,0.041,0.074,0.,0.074
9,0.009,0.,0.009,0.009,0.,0.009,0.01,0.,0.01,0.01,0.,0.01,0.051,0.,0.051,0.05,0.,0.05,0.04,0.,0.039,0.118,0.,0.117
10,0.012,0.,0.012,0.012,0.,0.012,0.011,0.,0.011,0.011,0.,0.011,0.058,0.,0.058,0.056,0.,0.056,0.059,0.,0.059,0.091,0.,0.09
50,0.044,0.,0.044,0.044,0.,0.044,0.043,0.,0.043,0.043,0.,0.043,0.277,0.,0.276,0.245,0.,0.245,1.127,0.,1.127,0.525,0.015,0.509
100,0.091,0.,0.091,0.091,0.,0.091,0.089,0.,0.089,0.088,0.,0.088,0.54,0.,0.539,0.488,0.,0.488,4.445,0.,4.445,0.961,0.01,0.95
150,0.137,0.,0.137,0.137,0.,0.137,0.139,0.,0.139,0.139,0.,0.139,0.77,0.,0.77,0.737,0.,0.737,10.247,0.,10.246,1.686,0.006,1.678
200,0.184,0.,0.184,0.185,0.,0.185,0.184,0.,0.184,0.184,0.,0.184,0.972,0.,0.972,0.978,0.,0.977,18.132,0.003,18.127,1.975,0.021,1.953
