param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.,0.003,0.003,0.,0.002,0.003,0.,0.003
20,0.008,0.,0.008,0.044,0.001,0.042,0.01,0.001,0.008
30,0.02,0.,0.02,0.02,0.,0.02,0.019,0.,0.019
40,0.041,0.,0.041,0.04,0.,0.04,0.041,0.,0.041
50,0.072,0.,0.072,0.073,0.,0.073,0.11,0.006,0.103
60,0.121,0.,0.121,0.122,0.,0.122,0.121,0.,0.121
70,0.187,0.,0.187,0.189,0.,0.189,0.188,0.,0.188
80,0.275,0.,0.274,0.273,0.,0.273,0.277,0.,0.277
90,0.436,0.,0.435,0.384,0.,0.384,0.385,0.,0.385
100,0.514,0.,0.514,0.518,0.,0.518,0.518,0.,0.518
110,0.698,0.,0.698,0.696,0.,0.696,0.696,0.,0.696
120,0.898,0.,0.898,0.903,0.,0.903,0.901,0.,0.901
130,1.141,0.,1.141,1.147,0.,1.147,1.139,0.,1.139
140,1.424,0.,1.424,1.423,0.,1.423,1.425,0.,1.425
150,1.733,0.,1.733,1.721,0.,1.72,1.726,0.,1.726
160,2.119,0.,2.118,2.133,0.,2.133,2.128,0.,2.127
170,2.557,0.,2.557,2.561,0.,2.561,2.549,0.,2.549
180,3.027,0.001,3.025,3.044,0.,3.044,3.037,0.,3.036
190,3.564,0.002,3.562,3.568,0.,3.568,3.566,0.,3.566
200,4.124,0.,4.124,4.092,0.001,4.091,4.089,0.,4.089
