param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.102,0.003,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.008
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.099,0.002,0.001,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.064,0.006,0.058
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.099,0.002,0.001,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.016,0.,0.016
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.1,0.003,0.001,0.,0.,0.,0.,0.,0.,0.008,0.003,0.005,0.008,0.001,0.006,0.045,0.,0.045
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.003,0.001,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.,0.005,0.028,0.,0.028
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.099,0.003,0.,0.001,0.,0.001,0.,0.,0.,0.02,0.,0.02,0.019,0.,0.019,0.08,0.,0.08
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.101,0.003,0.001,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.008,0.,0.008,0.05,0.,0.05
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.099,0.003,0.,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.012,0.,0.012,0.046,0.,0.046
5,1,5,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.103,0.004,0.,0.001,0.,0.001,0.,0.,0.,0.081,0.002,0.079,0.08,0.003,0.077,0.182,0.006,0.176
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.101,0.002,0.002,0.,0.,0.,0.,0.,0.,0.025,0.,0.025,0.026,0.,0.026,0.076,0.,0.076
