param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
85,0.138,0.,0.138,0.082,0.,0.082,0.045,0.,0.045,0.033,0.,0.033,0.091,0.,0.091,0.,0.,0.,0.046,0.,0.046,0.,0.,0.
86,0.143,0.,0.143,0.08,0.,0.08,0.046,0.,0.046,0.033,0.,0.033,0.095,0.,0.095,0.,0.,0.,0.045,0.,0.045,0.,0.,0.
87,0.143,0.,0.143,0.083,0.,0.083,0.047,0.,0.047,0.035,0.,0.035,0.095,0.,0.095,0.,0.,0.,0.045,0.,0.045,0.,0.,0.
88,0.149,0.,0.149,0.084,0.,0.084,0.047,0.,0.047,0.036,0.,0.036,0.1,0.,0.1,0.,0.,0.,0.046,0.,0.046,0.,0.,0.
89,0.149,0.,0.149,0.087,0.,0.087,0.049,0.,0.049,0.038,0.,0.038,0.098,0.,0.098,0.,0.,0.,0.048,0.,0.048,0.,0.,0.
90,0.157,0.,0.157,0.1,0.,0.099,0.05,0.,0.05,0.046,0.,0.046,0.105,0.,0.105,0.,0.,0.,0.051,0.,0.051,0.,0.,0.
91,0.156,0.,0.156,0.098,0.,0.098,0.052,0.,0.052,0.044,0.,0.044,0.102,0.,0.102,0.,0.,0.,0.051,0.,0.051,0.,0.,0.
92,0.162,0.,0.162,0.102,0.,0.102,0.052,0.,0.052,0.046,0.,0.046,0.108,0.,0.108,0.,0.,0.,0.054,0.,0.054,0.,0.,0.
93,0.163,0.,0.163,0.103,0.,0.103,0.053,0.,0.053,0.047,0.,0.047,0.108,0.,0.108,0.,0.,0.,0.054,0.,0.054,0.,0.,0.
94,0.167,0.,0.167,0.103,0.003,0.099,0.055,0.,0.055,0.043,0.,0.043,0.11,0.,0.11,0.,0.,0.,0.057,0.003,0.053,0.,0.,0.
95,0.179,0.,0.179,0.099,0.003,0.095,0.055,0.,0.055,0.039,0.,0.039,0.12,0.,0.12,0.002,0.,0.002,0.057,0.003,0.053,0.,0.,0.
96,0.185,0.,0.185,0.102,0.,0.102,0.067,0.,0.067,0.042,0.,0.042,0.116,0.,0.116,0.,0.,0.,0.058,0.,0.058,0.,0.,0.
97,0.183,0.003,0.179,0.106,0.,0.106,0.061,0.003,0.057,0.044,0.,0.044,0.12,0.,0.12,0.,0.,0.,0.06,0.,0.06,0.,0.,0.
98,0.19,0.,0.19,0.102,0.,0.102,0.061,0.,0.061,0.042,0.,0.042,0.127,0.,0.127,0.,0.,0.,0.057,0.,0.057,0.,0.,0.
99,0.195,0.,0.195,0.104,0.,0.104,0.067,0.,0.067,0.043,0.,0.043,0.126,0.,0.126,0.,0.,0.,0.059,0.,0.059,0.,0.,0.
100,0.195,0.,0.195,0.114,0.,0.114,0.068,0.,0.068,0.051,0.,0.051,0.125,0.,0.125,0.,0.,0.,0.062,0.,0.062,0.,0.,0.
110,0.238,0.,0.238,0.129,0.,0.129,0.077,0.,0.077,0.054,0.,0.054,0.152,0.,0.152,0.007,0.,0.007,0.073,0.,0.073,0.001,0.,0.001
120,0.294,0.,0.294,0.163,0.,0.163,0.111,0.,0.111,0.07,0.,0.07,0.181,0.,0.181,0.001,0.,0.001,0.09,0.,0.09,0.001,0.,0.001
130,0.336,0.,0.336,0.184,0.,0.184,0.118,0.,0.118,0.074,0.,0.074,0.215,0.,0.215,0.001,0.,0.001,0.107,0.,0.107,0.001,0.,0.001
