param-n,zify-big-context-regression-quadratic-real,zify-big-context-regression-quadratic-sys,zify-big-context-regression-quadratic-user
1,0.,0.,0.
2,0.,0.,0.
3,0.,0.,0.
4,0.,0.,0.
5,0.,0.,0.
6,0.,0.,0.
7,0.,0.,0.
8,0.,0.,0.
9,0.,0.,0.
10,0.001,0.,0.001
11,0.001,0.,0.
12,0.001,0.,0.001
13,0.001,0.,0.
14,0.001,0.,0.
15,0.001,0.001,0.
16,0.001,0.,0.001
17,0.002,0.,0.002
18,0.002,0.,0.002
19,0.002,0.,0.002
20,0.002,0.,0.002
21,0.002,0.001,0.
22,0.038,0.001,0.036
23,0.002,0.,0.002
24,0.002,0.,0.002
25,0.002,0.,0.002
26,0.002,0.,0.002
27,0.002,0.,0.002
28,0.003,0.,0.003
29,0.003,0.,0.003
30,0.018,0.,0.018
31,0.003,0.,0.003
32,0.003,0.,0.003
33,0.004,0.,0.004
34,0.004,0.,0.004
35,0.005,0.,0.005
36,0.004,0.,0.004
37,0.005,0.,0.005
38,0.006,0.,0.006
39,0.005,0.,0.005
40,0.005,0.,0.005
41,0.006,0.,0.006
42,0.006,0.,0.006
43,0.007,0.,0.007
44,0.006,0.,0.006
45,0.007,0.,0.007
50,0.012,0.002,0.01
100,0.074,0.005,0.069
150,0.096,0.001,0.095
200,0.159,0.001,0.157
