param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08666,0.00015,0.00039,0.00004,0.189,0.014,0.089,0.08689,0.00014,0.00038,0.00004,0.087,0.001,0.,0.,0.,0.,0.,0.,0.
3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08543,0.00013,0.00037,0.00005,0.086,0.,0.001,0.08755,0.00015,0.00036,0.00005,0.088,0.,0.001,0.001,0.,0.001,0.,0.,0.
4,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.08671,0.00015,0.00039,0.00005,0.087,0.,0.001,0.08603,0.00015,0.00040,0.00005,0.086,0.,0.,0.003,0.,0.003,0.,0.,0.
5,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.08621,0.00013,0.00037,0.00005,0.086,0.,0.001,0.08656,0.00015,0.00039,0.00005,0.087,0.001,0.,0.005,0.,0.005,0.,0.,0.
6,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.08634,0.00013,0.00039,0.00005,0.087,0.,0.,0.08669,0.00015,0.00037,0.00005,0.087,0.,0.001,0.008,0.,0.008,0.,0.,0.
7,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.08641,0.00015,0.00037,0.00008,0.087,0.,0.001,0.08576,0.00015,0.00037,0.00005,0.086,0.,0.001,0.011,0.,0.011,0.,0.,0.
8,0.03,0.,0.03,0.,0.,0.,0.,0.,0.,0.08639,0.00012,0.00040,0.00005,0.087,0.,0.001,0.08572,0.00015,0.00044,0.00006,0.086,0.,0.001,0.031,0.,0.031,0.,0.,0.
9,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.08688,0.00012,0.00037,0.00005,0.087,0.,0.001,0.08650,0.00015,0.00039,0.00005,0.087,0.,0.,0.021,0.,0.021,0.,0.,0.
10,0.03,0.,0.03,0.,0.,0.,0.,0.,0.,0.08588,0.00013,0.00038,0.00006,0.086,0.,0.001,0.08560,0.00015,0.00040,0.00005,0.086,0.,0.,0.031,0.,0.031,0.,0.,0.
11,0.047,0.,0.047,0.,0.,0.,,,,,,,,,,,,,,,,,,0.049,0.,0.049,,,
12,0.055,0.,0.055,,,,0.,0.,0.,,,,,,,,,,,,,,,0.047,0.,0.046,,,
13,0.051,0.,0.051,,,,,,,,,,,,,,,,,,,,,0.051,0.,0.051,,,
14,0.06,0.,0.06,,,,,,,,,,,,,,,,,,,,,0.078,0.,0.078,,,
15,0.079,0.,0.079,,,,,,,,,,,,,,,,,,,,,0.084,0.,0.084,,,
16,0.087,0.,0.087,,,,,,,,,,,,,,,,,,,,,0.099,0.,0.099,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.104,0.,0.104,,,
18,0.119,0.,0.119,,,,0.,0.,0.,,,,,,,,,,,,,,,0.126,0.,0.126,,,
19,0.135,0.,0.135,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.266,0.,0.266,,,
22,0.32,0.,0.32,,,,,,,,,,,,,,,,,,,,,0.224,0.,0.223,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,0.281,0.,0.281,,,
25,0.27,0.,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,0.433,0.,0.433,,,
28,0.474,0.,0.474,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,0.395,0.,0.395,,,
30,0.421,0.,0.421,,,,,,,,,,,,,,,,,,,,,0.451,0.,0.451,,,
32,,,,,,,,,,,,,,,,,,,,,,,,0.531,0.,0.531,,,
33,0.523,0.,0.523,,,,0.,0.,0.,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,0.636,0.,0.635,,,
36,0.671,0.,0.671,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,1.019,0.,1.018,0.,0.,0.
43,1.075,0.,1.075,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
45,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,1.482,0.001,1.48,,,
49,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
50,1.576,0.,1.576,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,2.126,0.002,2.124,,,
56,2.179,0.,2.179,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,2.861,0.002,2.857,,,
62,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
63,3.148,0.,3.148,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,3.946,0.003,3.941,,,
70,4.237,0.,4.237,,,,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,
71,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,
79,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,0.,0.,0.
86,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,
88,,,,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,
96,,,,0.004,0.,0.004,0.008,0.,0.007,,,,,,,,,,,,,,,,,,,,
101,,,,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,
105,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,
112,,,,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,
113,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,0.07918,0.00015,0.00047,0.00015,0.194,0.018,0.096,0.07864,0.00015,0.00042,0.00017,0.079,0.,0.001,,,,,,
117,,,,,,,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.
122,,,,0.01,0.,0.01,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,
127,,,,,,,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,
130,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,
138,,,,,,,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,
139,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,
148,,,,0.008,0.,0.008,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,
153,,,,,,,0.01,0.,0.01,,,,,,,,,,,,,,,,,,,,
156,,,,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,0.01,0.,0.01,,,,,,,,,,,,,,,,,,0.,0.,0.
164,,,,,,,0.021,0.,0.021,,,,,,,,,,,,,,,,,,,,
165,,,,0.01,0.,0.009,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,0.011,0.,0.011,,,,,,,,,,,,,,,,,,,,
173,,,,0.011,0.,0.011,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,
180,,,,,,,0.016,0.,0.015,,,,,,,,,,,,,,,,,,,,
182,,,,0.018,0.,0.018,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,0.013,0.,0.013,,,,,,,,,,,,,,,,,,,,
190,,,,0.013,0.,0.013,0.085,0.,0.085,,,,,,,,,,,,,,,,,,,,
195,,,,,,,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.,0.001
199,,,,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,0.054,0.,0.054,,,,,,,,,,,,,,,,,,,,
206,,,,,,,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,
208,,,,0.022,0.,0.022,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,0.019,0.,0.019,,,,,,,,,,,,,,,,,,,,
216,,,,0.015,0.,0.015,0.041,0.,0.041,,,,,,,,,,,,,,,,,,,,
221,,,,,,,0.022,0.,0.022,,,,,,,,,,,,,,,,,,,,
225,,,,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,0.019,0.,0.019,,,,,,,,,,,,,,,,,,,,
