param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07806,0.00040,0.00039,0.00005,0.154,0.013,0.063,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.003
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07759,0.00022,0.00041,0.00006,0.078,0.,0.001,0.,0.,0.,0.,0.,0.,0.004,0.002,0.001,0.004,0.001,0.002,0.016,0.004,0.012
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07665,0.00019,0.00039,0.00005,0.077,0.001,0.,0.,0.,0.,0.,0.,0.,0.002,0.001,0.001,0.002,0.,0.002,0.009,0.002,0.006
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07717,0.00019,0.00039,0.00008,0.077,0.,0.001,0.,0.,0.,0.,0.,0.,0.009,0.003,0.006,0.009,0.,0.008,0.066,0.003,0.063
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07720,0.00019,0.00041,0.00006,0.077,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.005,0.006,0.,0.005,0.013,0.,0.013
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07635,0.00019,0.00041,0.00006,0.077,0.,0.,0.,0.,0.,0.,0.,0.,0.033,0.,0.033,0.033,0.,0.033,0.04,0.,0.04
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07630,0.00019,0.00038,0.00006,0.077,0.001,0.,0.,0.,0.,0.,0.,0.,0.052,0.001,0.05,0.053,0.003,0.049,0.039,0.,0.039
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07576,0.00019,0.00039,0.00018,0.076,0.,0.001,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.011,0.,0.011,0.024,0.,0.024
5,1,5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07680,0.00019,0.00039,0.00006,0.155,0.018,0.061,0.,0.,0.,0.,0.,0.,0.089,0.011,0.077,0.09,0.008,0.081,0.14,0.011,0.128
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07593,0.00019,0.00041,0.00006,0.076,0.,0.001,0.,0.,0.,0.,0.,0.,0.036,0.,0.036,0.038,0.,0.038,0.041,0.,0.041
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.,0.065
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.189,0.01,0.178,0.189,0.009,0.179,0.266,0.008,0.257
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.06,0.,0.06,0.065,0.,0.065,0.115,0.,0.115
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.27,0.,0.27,0.271,0.,0.271,0.379,0.,0.379
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.112,0.,0.112,0.11,0.,0.11,0.08,0.,0.08
