param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
79,0.103,0.,0.103,0.049,0.,0.049,0.021,0.,0.021,0.014,0.,0.014,0.081,0.,0.081,0.,0.,0.,0.034,0.,0.034,0.,0.,0.
80,0.103,0.,0.103,0.05,0.,0.05,0.021,0.,0.021,0.014,0.,0.014,0.08,0.,0.08,0.,0.,0.,0.035,0.,0.035,0.,0.,0.
81,0.106,0.,0.106,0.05,0.,0.05,0.022,0.,0.022,0.013,0.,0.012,0.083,0.,0.083,0.,0.,0.,0.036,0.,0.036,0.,0.,0.
82,0.104,0.,0.103,0.051,0.,0.051,0.02,0.,0.02,0.013,0.,0.013,0.082,0.,0.081,0.,0.,0.,0.036,0.,0.036,0.,0.,0.
83,0.109,0.,0.109,0.052,0.,0.052,0.022,0.,0.022,0.014,0.,0.014,0.085,0.,0.085,0.,0.,0.,0.037,0.,0.037,0.,0.,0.
84,0.112,0.,0.112,0.054,0.,0.054,0.019,0.,0.019,0.014,0.,0.014,0.091,0.,0.091,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
85,0.12,0.,0.12,0.054,0.,0.054,0.023,0.,0.023,0.014,0.,0.014,0.095,0.,0.095,0.,0.,0.,0.039,0.,0.039,0.,0.,0.
86,0.119,0.,0.119,0.056,0.,0.056,0.023,0.,0.023,0.014,0.,0.014,0.094,0.,0.094,0.,0.,0.,0.04,0.,0.04,0.,0.,0.
87,0.122,0.003,0.119,0.057,0.,0.057,0.026,0.,0.026,0.015,0.,0.015,0.095,0.002,0.092,0.,0.,0.,0.041,0.,0.041,0.,0.,0.
88,0.116,0.003,0.112,0.058,0.,0.058,0.024,0.003,0.02,0.015,0.,0.015,0.091,0.,0.091,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
89,0.129,0.,0.129,0.061,0.,0.061,0.024,0.,0.024,0.017,0.,0.017,0.103,0.,0.103,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
90,0.137,0.003,0.133,0.062,0.003,0.059,0.025,0.003,0.021,0.018,0.003,0.014,0.111,0.,0.111,0.,0.,0.,0.043,0.,0.043,0.,0.,0.
91,0.121,0.,0.121,0.064,0.,0.064,0.022,0.,0.022,0.018,0.,0.018,0.098,0.,0.098,0.,0.,0.,0.045,0.,0.045,0.,0.,0.
92,0.128,0.003,0.124,0.067,0.,0.067,0.024,0.,0.024,0.016,0.,0.016,0.103,0.003,0.099,0.,0.,0.,0.05,0.,0.05,0.,0.,0.
93,0.131,0.,0.131,0.068,0.,0.068,0.024,0.,0.024,0.017,0.,0.017,0.105,0.,0.105,0.,0.,0.,0.049,0.,0.049,0.,0.,0.
94,0.132,0.,0.132,0.069,0.,0.069,0.025,0.,0.025,0.018,0.,0.018,0.105,0.,0.105,0.,0.,0.,0.049,0.,0.049,0.,0.,0.
95,0.133,0.,0.133,0.074,0.,0.074,0.024,0.,0.024,0.017,0.,0.017,0.107,0.,0.107,0.,0.,0.,0.055,0.,0.055,0.,0.,0.
96,0.147,0.,0.147,0.079,0.,0.079,0.026,0.,0.026,0.027,0.,0.027,0.119,0.,0.119,0.,0.,0.,0.05,0.,0.05,0.,0.,0.
97,0.144,0.,0.144,0.076,0.003,0.072,0.028,0.,0.028,0.02,0.,0.02,0.114,0.,0.114,0.,0.,0.,0.054,0.003,0.05,0.,0.,0.
98,0.143,0.,0.143,0.076,0.,0.076,0.028,0.,0.028,0.02,0.,0.02,0.113,0.,0.113,0.,0.,0.,0.054,0.,0.054,0.,0.,0.
99,0.147,0.,0.147,0.083,0.003,0.079,0.028,0.,0.028,0.024,0.,0.024,0.117,0.,0.116,0.,0.,0.,0.058,0.003,0.054,0.,0.,0.
